300
NIKOSINA-PAKROJA 0:101
BOMBEJA-NOVOSIBIRSKA 147:9
VIDZEME-KRAMAMTORSKA 147:90
LEIPCIGA-PJATIGORSKA 148:16
TENERIFE-PJATIGORSKA 148:54
MANHEIMA-PJATIGORSKA 149:10
TOMBUKA-NOVOSIBIRSKA 149:100
BENGAZI-KRAMAMTORSKA 149:12
RUDAMINA-PJATIGORSKA 15:75
BRISELE-NOVOSIBIRSKA 150:53
MIRNIJA-NOVOSIBIRSKA 150:57
SIDNEJA-NOVOSIBIRSKA 16:111
VIDAUJA-NOVOSIBIRSKA 18:30
KANTONA-NOVOSIBIRSKA 2:28
ARTJOMA-NOVOSIBIRSKA 21:19
ILMENIS-KRAMAMTORSKA 21:41
BRUKLINA-PJATIGORSKA 23:51
PLOVDIVA-PJATIGORSKA 25:131
SEVILJA-NOVOSIBIRSKA 25:96
VATERLO-KRAMAMTORSKA 26:68
VIDUKLE-KRAMAMTORSKA 27:83
JERSIKA-KRAMAMTORSKA 29:61
NIKOSINA-PJATIGORSKA 3:101
PAKROJA-NOVOSIBIRSKA 3:60
KANTONA-KRAMAMTORSKA 31:49
INDRAJI-NOVOSIBIRSKA 31:88
GARKALNE-PJATIGORSKA 35:36
KAJENNA-KRAMAMTORSKA 35:45
ROZALIMA-PJATIGORSKA 36:66
FORMOZA-NOVOSIBIRSKA 37:125
GDANSKA-KRAMAMTORSKA 38:118
KAMPALA-KRAMAMTORSKA 40:81
SEVERNA-NOVOSIBIRSKA 41:136
SALVANA-KRAMAMTORSKA 41:80
ZEMGALE-NOVOSIBIRSKA 41:9
ISIKULS-KRAMAMTORSKA 43:123
HAIFONA-KRAMAMTORSKA 44:118
ZAMBEZI-KRAMAMTORSKA 46:58
GVINEJA-KRAMAMTORSKA 47:33
MEKSIKA-NOVOSIBIRSKA 48:0
ABAKANA-KRAMAMTORSKA 48:105
AMERIKA-KRAMAMTORSKA 48:140
BRUNEJA-NOVOSIBIRSKA 48:73
AUSTRIJA-PJATIGORSKA 49:95
PASVALE-KRAMAMTORSKA 5:45
DEMOINA-KRAMAMTORSKA 5:78
ARMAVIRA-PJATIGORSKA 5:79
KVEBEKA-KRAMAMTORSKA 50:35
SEIRIJI-NOVOSIBIRSKA 50:41
HARTUMA-KRAMAMTORSKA 50:58
LONDONA-KRAMAMTORSKA 51:149
SAIGONA-NOVOSIBIRSKA 53:109
LONDONA-NOVOSIBIRSKA 55:94
NANKINA-KRAMAMTORSKA 56:118
OZOLAINE-PJATIGORSKA 56:84
GORKIJA-NOVOSIBIRSKA 58:50
KURZEME-KRAMAMTORSKA 59:80
HARBINA-KRAMAMTORSKA 6:1
HUDZONA-NOVOSIBIRSKA 6:87
SILMALA-NOVOSIBIRSKA 61:44
NAHODKA-NOVOSIBIRSKA 63:52
INDRAJI-KRAMAMTORSKA 64:143
RUMBULA-KRAMAMTORSKA 64:75
KAJENNA-NOVOSIBIRSKA 65:119
BERGENA-NOVOSIBIRSKA 66:8
LUCERNA-KRAMAMTORSKA 66:80
SAFOLKA-KRAMAMTORSKA 67:21
ROSTOKA-NOVOSIBIRSKA 67:44
KAZBEKS-KRAMAMTORSKA 68:103
MAJORKA-KRAMAMTORSKA 68:45
VATERLO-NOVOSIBIRSKA 69:113
KATOVICE-PJATIGORSKA 69:72
ABADANA-NOVOSIBIRSKA 70:66
SEVILJA-KRAMAMTORSKA 71:95
POLOCKA-KRAMAMTORSKA 74:108
KARLAILA-PJATIGORSKA 74:52
HAIFONA-NOVOSIBIRSKA 75:16
KORSIKA-KRAMAMTORSKA 77:29
VILGALE-KRAMAMTORSKA 77:66
MISISIPI-PJATIGORSKA 78:7
ULBROKA-NOVOSIBIRSKA 79:107
SALVANA-NOVOSIBIRSKA 79:6
GVINEJA-NOVOSIBIRSKA 80:102
MAKENZI-KRAMAMTORSKA 81:133
KURZEME-NOVOSIBIRSKA 81:39
PALERMO-KRAMAMTORSKA 82:22
TERMEZA-NOVOSIBIRSKA 85:146
PAROGLE-NOVOSIBIRSKA 86:77
VERDENA-KRAMAMTORSKA 87:48
TUNISIJA-PJATIGORSKA 88:131
ZEMGALE-KRAMAMTORSKA 88:35
VIDAUJA-KRAMAMTORSKA 88:70
GRUZIJA-NOVOSIBIRSKA 90:30
OREGONA-KRAMAMTORSKA 90:56
ZAMBIJA-NOVOSIBIRSKA 91:149
BALTIJA-NOVOSIBIRSKA 93:12
LOZANNA-NOVOSIBIRSKA 93:72
VILGALE-NOVOSIBIRSKA 95:2
MAUNALOA-PJATIGORSKA 97:124
SIESIKI-KRAMAMTORSKA 97:128
LIVORNA-KRAMAMTORSKA 98:67
KARTENA-KRAMAMTORSKA 99:129
MENORKA-KRAMAMTORSKA 99:142
PETROZAVODSKA-NORTAMBERLENDA 53:104
ZVEJNIEKCIEMS-NORTAMBERLENDA 78:34
ARKANZASITIJA-KARTENA 117:87
DIENVIDDAKOTA-KARTENA 40:85
JAUNPIEBALGA-UDMRTIJA 2:82
BABELMANDEBA-UDMRTIJA 32:136
RIETUMINDIJA-UDMRTIJA 6:8
DIENVIDAMERIKA-ARTJOMA 138:4
HANTIMANSIJSKA-ARTJOMA 94:114
NORTAMBERLENDA-ARTJOMONSKA 131:92
DIENVIDAMERIKA-ARTJOMONSKA 150:22
DIENVIDDAKOTA-BURTNIEKI 129:41
ZVEJNIEKCIEMS-BURTNIEKI 78:66
PETROZAVODSKA-HARTUMA 64:60
JAUNPIEBALGA-BOBRUJSKA 127:69
BABELMANDEBA-BOBRUJSKA 15:146
NOVOSIBIRSKA-BOBRUJSKA 61:74
RIETUMINDIJA-TOBRUKA 119:91
KRAMAMTORSKA-TOBRUKA 149:52
NOVOSIBIRSKA-TOBRUKA 29:13
JAUNPIEBALGA-TOBRUKA 32:122
BABELMANDEBA-TOBRUKA 70:114
VESTMINSTERA-TOBRUKA 99:21
DIENVIDAMERIKA-BRUKLINA 114:148
HANTIMANSIJSKA-BRUKLINA 125:96
NORTAMBERLENDA-BRUKLINA 52:108
HANTIMANSIJSKA-GRUZIJA 24:134
DIENVIDAMERIKA-GRUZIJA 85:127
HANTIMANSIJSKA-BRUNEJA 52:55
OGRESGALS-SANTAKRUSA 102:10
SLOVAKIJA-SANTAKRUSA 107:105
KIZILKUMS-SANTAKRUSA 11:134
ARKANZASA-SANTAKRUSA 111:39
MALAIZIJA-SANTAKRUSA 113:40
GVATEMALA-SANTAKRUSA 135:146
VECRIKAVA-SANTAKRUSA 139:131
SALINIEKI-SANTAKRUSA 141:51
JAUNCIEMS-SANTAKRUSA 32:115
BALTIMORA-SANTAKRUSA 32:134
UPESCIEMS-SANTAKRUSA 36:98
USURIJSKA-SANTAKRUSA 39:35
KALNCIEMS-SANTAKRUSA 42:104
GVADELUPE-SANTAKRUSA 53:11
BURTNIEKI-SANTAKRUSA 58:53
MAZSALACA-SANTAKRUSA 69:109
NUKUALOFA-SANTAKRUSA 80:42
KENTUKIJA-SANTAKRUSA 84:26
BAISOGALA-SANTAKRUSA 95:40
MAFEKINGA-SANTAKRUSA 99:128
NORTAMBERLENDA-DRUSTI 93:15
DIENVIDDAKOTA-MARVELE 121:95
ZVEJNIEKCIEMS-MARVELE 2:93
PETROZAVODSKA-MARVELE 34:149
ARKANZASITIJA-MARVELE 60:31
BALTIJA-RAGACIEMS 0:17
SEIRIJI-KALNCIEMS 0:36
NOTINGEMA-KAZBEKS 0:49
VECBILSKA-ISIKULS 0:76
DEMOINA-JAUNCIEMS 0:77
NEAPOLE-UPESCIEMS 1:104
LATVIJA-BALTEZERS 1:122
BAHREINA-JAUNPILS 1:41
ULBROKA-BALTEZERS 1:49
VERDENA-RAGACIEMS 1:67
PERLOJA-UPESCIEMS 1:82
VECRIKAVA-PITRAGS 10:139
ROSTOKA-KALNCIEMS 10:35
GAIGALAVA-ILMENIS 10:48
CEILONA-JAUNCIEMS 10:60
GRUZIJA-BALTEZERS 10:71
BALTIJA-BALTEZERS 10:74
SILMALA-JAUNCIEMS 100:114
OREGONA-UPESCIEMS 100:42
FUDZIJAMA-ILMENIS 100:73
SIESIKI-RAGACIEMS 101:125
GRUZIJA-OGRESGALS 101:16
HAVANNA-JAUNCIEMS 101:65
BOMBEJA-JAUNCIEMS 102:134
TAIVANA-RAGACIEMS 102:60
KOLGUJEVA-PITRAGS 102:62
DEMOINA-OGRESGALS 103:115
GORKIJA-KALNCIEMS 103:119
BRUNEJA-KIZILKUMS 103:133
PENKULE-KALNCIEMS 103:3
KAMBIJA-KALNCIEMS 103:78
SKOTIJA-KIZILKUMS 104:133
VIDZEME-JAUNCIEMS 104:27
MAFEKINGA-METELIS 105:81
LAZDIJI-KIZILKUMS 106:119
PAROGLE-KIZILKUMS 106:4
SERPUHOVA-ILMENIS 107:101
ZAMBIJA-RAGACIEMS 107:108
GAMBIJA-KIZILKUMS 107:75
TRIPOLE-UPESCIEMS 108:48
MEKSIKA-OGRESGALS 108:57
GVAJAKILA-PITRAGS 108:6
BATUMI-KATLAKALNS 108:61
ILINOISA-JAUNPILS 108:94
UPESCIEMS-ILMENIS 109:15
SALVANA-BALTEZERS 109:26
DUBLINA-KIZILKUMS 109:97
ETIOPIJA-MELNSILS 11:115
UKRAINA-KALNCIEMS 11:41
BENGAZI-BALTEZERS 11:63
KAPZEME-KIZILKUMS 11:8
LATGALE-OGRESGALS 11:99
ASUNSJONA-PITRAGS 110:58
KAMPALA-UPESCIEMS 110:77
VATERLO-OGRESGALS 111:50
LOZANNA-JAUNCIEMS 112:126
ETIOPIJA-JAUNPILS 112:52
GRUZIJA-RAGACIEMS 112:77
ZAMBIJA-OGRESGALS 112:84
LUCERNA-BALTEZERS 112:89
JAMAIKA-UPESCIEMS 113:79
KIZILKUMS-METELIS 114:100
KOLGUJEVA-KAZBEKS 114:101
ASUNSJONA-ISIKULS 114:113
SEVERNA-KALNCIEMS 114:125
SAIGONA-BALTEZERS 114:26
RIMINI-KATLAKALNS 114:62
KURZEME-UPESCIEMS 115:141
SALIENA-JAUNCIEMS 115:143
LATVIJA-KIZILKUMS 115:25
PUIKULE-KIZILKUMS 115:28
ARIZONA-UPESCIEMS 115:41
KAPZEME-KALNCIEMS 116:136
DURBANA-RAGACIEMS 116:22
GVATEMALA-METELIS 116:49
POCIEMS-RAGACIEMS 117:123
MILVOKI-JAUNCIEMS 117:13
VERSEKA-UPESCIEMS 117:135
AIZVOLGA-JAUNPILS 117:18
TJANDZINA-METELIS 117:20
VAIOMINGA-POCIEMS 117:68
ALABAMA-KIZILKUMS 117:68
MAKENZI-RAGACIEMS 117:96
PUIKULE-BALTEZERS 118:127
NUKUALOFA-ISIKULS 118:15
UGUNSZEME-METELIS 118:38
JERSIKA-KIZILKUMS 118:4
BOBRUJSKA-KAZBEKS 118:48
OZOLAINE-MELNSILS 118:48
MONGOLIJA-ISIKULS 118:6
TOTNEMA-JAUNCIEMS 118:80
RUMBULA-BALTEZERS 119:102
SERBIJA-OGRESGALS 119:12
PAROGLE-OGRESGALS 119:75
TURCIJA-JAUNCIEMS 12:106
GAMBIJA-RAGACIEMS 12:125
SALONIKI-MELNSILS 12:93
SLOVAKIJA-POCIEMS 120:106
LAZDIJI-UPESCIEMS 120:109
ARIZONA-KIZILKUMS 121:112
KIZILKUMS-ISIKULS 121:136
VECBILSKA-ILMENIS 121:77
AIZVOLGA-MELNSILS 121:82
LOZANNA-KIZILKUMS 122:118
SLOVAKIJA-PITRAGS 122:24
RIONEGRO-MELNSILS 122:26
UPESCIEMS-METELIS 123:118
KUDIMKARA-KAZBEKS 123:142
NANKINA-KIZILKUMS 123:148
OREGONA-OGRESGALS 123:67
ANGLIJA-JAUNCIEMS 124:107
NEAPOLE-KIZILKUMS 124:115
KALNCIEMS-KAZBEKS 124:82
VIDZEME-RAGACIEMS 125:37
RAGACIEMS-ISIKULS 125:65
GAMBIJA-KALNCIEMS 125:71
OREGONA-BALTEZERS 125:72
ZAMBIJA-BALTEZERS 126:120
GVINEJA-KALNCIEMS 126:127
PORTSMUTA-METELIS 126:128
SAFOLKA-KALNCIEMS 126:22
POLOCKA-UPESCIEMS 126:50
BRATSKA-OGRESGALS 126:53
USURIJSKA-ILMENIS 126:91
VERDENA-UPESCIEMS 127:10
PERLOJA-OGRESGALS 127:67
DURBANA-KIZILKUMS 128:14
RUMBULA-OGRESGALS 128:24
PUIKULE-KALNCIEMS 128:34
BRATSKA-KALNCIEMS 129:13
SALIENA-OGRESGALS 129:21
KIZILKUMS-ILMENIS 129:30
SEIRIJI-OGRESGALS 129:49
KIGALI-KATLAKALNS 129:74
LATGALE-RAGACIEMS 13:117
DUBLINA-KALNCIEMS 13:134
DOMINIKA-MELNSILS 13:136
OZOLNIEKI-ISIKULS 13:87
SALIENA-KIZILKUMS 130:10
PALERMO-OGRESGALS 130:16
PASIENA-BALTEZERS 130:24
PERLOJA-KIZILKUMS 130:35
PUIKULE-JAUNCIEMS 130:40
VECRIKAVA-METELIS 130:44
MONGOLIJA-PITRAGS 130:7
INDRAJI-UPESCIEMS 130:87
ARKTIKA-OGRESGALS 131:142
POLOCKA-JAUNCIEMS 131:27
ARIZONA-OGRESGALS 131:44
ROSTOKA-BALTEZERS 132:101
MILVOKI-BALTEZERS 132:112
PORTSMUTA-PITRAGS 132:92
JAMAIKA-RAGACIEMS 133:97
UPESCIEMS-ISIKULS 134:101
OZOLNIEKI-PITRAGS 134:111
ARKTIKA-KIZILKUMS 134:120
ISIKULS-KALNCIEMS 134:46
VAIOMINGA-KAZBEKS 134:90
SEVERNA-JAUNCIEMS 135:10
ZEMGALE-BALTEZERS 135:104
ORINOKO-RAGACIEMS 135:111
TALLINA-RAGACIEMS 135:50
VATERLO-RAGACIEMS 135:85
MIROSLAVA-ILMENIS 136:119
LUISVILA-MELNSILS 136:146
NIAMEJA-RAGACIEMS 136:29
SEVILJA-OGRESGALS 136:72
SILMALA-KIZILKUMS 136:84
LAZDIJI-JAUNCIEMS 136:85
VIDAUJA-OGRESGALS 136:91
SAIGONA-KALNCIEMS 136:98
ARTJOMA-RAGACIEMS 137:106
MENORKA-KIZILKUMS 137:139
HAUAIHE-KIZILKUMS 137:150
SERBIJA-RAGACIEMS 137:45
KALNCIEMS-POCIEMS 137:48
SKOTIJA-RAGACIEMS 137:87
LIVORNA-OGRESGALS 138:32
JERSIKA-OGRESGALS 138:37
AMERIKA-OGRESGALS 138:68
MAJAMI-KATLAKALNS 139:36
NAHODKA-RAGACIEMS 139:63
SERBIJA-BALTEZERS 139:81
RANGUNA-UPESCIEMS 14:116
ILMENIS-BALTEZERS 14:119
TOBRUKA-KIZILKUMS 14:130
TAIZEME-RAGACIEMS 14:30
KURZEME-KALNCIEMS 14:35
RAGACIEMS-ILMENIS 14:52
CEILONA-RAGACIEMS 14:66
SIESIKI-KALNCIEMS 14:80
LUCERNA-UPESCIEMS 14:92
BARSELONA-ISIKULS 140:115
BOSTONA-KALNCIEMS 140:148
NIAMEJA-BALTEZERS 140:46
UZBEKIJA-MELNSILS 140:68
KARTENA-KIZILKUMS 140:84
TOMBUKA-UPESCIEMS 140:97
VIDAUJA-KALNCIEMS 141:121
VIETALVA-MELNSILS 141:123
KAZBEKS-UPESCIEMS 141:31
PAROGLE-KALNCIEMS 141:37
AUSTRIJA-MELNSILS 141:48
TOTNEMA-KALNCIEMS 141:8
ALABAMA-KALNCIEMS 142:130
MARVELE-KALNCIEMS 142:65
ANGLIJA-OGRESGALS 142:72
MIRNIJA-BALTEZERS 143:133
AMERIKA-JAUNCIEMS 143:79
VERSEKA-KIZILKUMS 144:116
TOBRUKA-BALTEZERS 144:42
KAPSUKA-KALNCIEMS 144:74
NANKINA-KALNCIEMS 144:77
SAKSIJA-RAGACIEMS 145:120
VERDENA-KALNCIEMS 145:122
LIVORNA-UPESCIEMS 145:123
BURTNIEKI-ILMENIS 145:138
BURTNIEKI-ISIKULS 145:21
SIESIKI-KIZILKUMS 145:26
TALLINA-BALTEZERS 145:3
GAIGALAVA-METELIS 145:38
TJANDZINA-KAZBEKS 145:42
KALNCIEMS-ILMENIS 145:47
GVATEMALA-PITRAGS 146:115
NANKINA-UPESCIEMS 146:34
FUDZIJAMA-METELIS 146:55
DAIVANA-BALTEZERS 146:6
MIROSLAVA-PITRAGS 146:7
PAKROJA-UPESCIEMS 147:103
ABADANA-JAUNCIEMS 147:122
PEDEDZE-JAUNCIEMS 147:126
MIROSLAVA-ISIKULS 147:56
JANDZI-KATLAKALNS 147:59
MAFEKINGA-PITRAGS 147:83
SAIGONA-KIZILKUMS 148:125
TAIZEME-KALNCIEMS 148:60
METELIS-BALTEZERS 149:105
TUNISIJA-JAUNPILS 149:114
ARIZONA-RAGACIEMS 149:37
PAKROJA-JAUNCIEMS 15:114
HARBINA-KALNCIEMS 15:122
SEVERNA-KIZILKUMS 15:36
HUDZONA-JAUNCIEMS 15:42
PITRAGS-RAGACIEMS 15:73
MAKENZI-UPESCIEMS 150:37
HAUAIHE-KALNCIEMS 16:115
PENKULE-JAUNCIEMS 16:117
ARKANZASA-ISIKULS 16:119
TRIPOLE-JAUNCIEMS 16:33
KALNCIEMS-PITRAGS 16:35
HAIFONA-JAUNCIEMS 16:56
HIROSIMA-JAUNPILS 16:71
BURTNIEKI-KAZBEKS 17:104
BEREZINA-MELNSILS 17:124
GORKIJA-BALTEZERS 17:142
OREGONA-JAUNCIEMS 17:33
SALIENA-RAGACIEMS 17:79
SALINIEKI-METELIS 17:95
JAUNCIEMS-METELIS 17:97
UGUNSZEME-ISIKULS 19:111
VIDUKLE-UPESCIEMS 19:137
GVAJAKILA-KAZBEKS 19:23
TALLINA-UPESCIEMS 19:37
MALAIZIJA-PITRAGS 19:38
PAROGLE-UPESCIEMS 19:41
SEIRIJI-KIZILKUMS 2:125
DUBLINA-JAUNCIEMS 2:137
SILMALA-UPESCIEMS 2:26
NOTINGEMA-PITRAGS 2:8
MIROSLAVA-KAZBEKS 2:80
JAMAIKA-KIZILKUMS 20:10
TENERIFE-MELNSILS 20:101
DOMINIKA-JAUNPILS 20:135
KENTUKIJA-PITRAGS 20:48
KAMPALA-BALTEZERS 20:58
GAMBIJA-UPESCIEMS 20:63
OGRESGALS-POCIEMS 21:127
PORTSMUTA-ISIKULS 21:42
OREGONA-KALNCIEMS 21:45
MAZSALACA-PITRAGS 21:52
BARSELONA-METELIS 22:136
PORTSMUTA-POCIEMS 22:143
BEREZINA-JAUNPILS 22:147
KAMPALA-JAUNCIEMS 22:149
SERPUHOVA-METELIS 22:21
JERSIKA-JAUNCIEMS 22:26
HARBINA-RAGACIEMS 22:59
LAPZEME-BALTEZERS 22:71
VECUMI-KATLAKALNS 23:11
BRAZILJA-JAUNPILS 23:59
PEDEDZE-UPESCIEMS 24:120
KANTONA-JAUNCIEMS 24:128
BURTNIEKI-PITRAGS 24:130
VECBILSKA-PITRAGS 24:16
TEBRIZA-RAGACIEMS 24:65
BERGENA-KIZILKUMS 24:90
NAHODKA-UPESCIEMS 25:104
BOMBEJA-KIZILKUMS 25:62
GVADELUPE-METELIS 26:109
ARKTIKA-UPESCIEMS 26:139
NAHODKA-JAUNCIEMS 26:25
MIRNIJA-JAUNCIEMS 27:101
TURCIJA-RAGACIEMS 27:111
LUCERNA-RAGACIEMS 27:23
USURIJSKA-POCIEMS 27:67
BOBRUJSKA-POCIEMS 27:99
VECRIKAVA-ISIKULS 28:26
KARMELITI-ILMENIS 28:45
NIAMEJA-KALNCIEMS 28:66
KURZEME-BALTEZERS 29:112
POLOCKA-KALNCIEMS 29:113
MENORKA-BALTEZERS 29:17
TAIZEME-BALTEZERS 29:26
MAKENZI-JAUNCIEMS 29:58
BOSTONA-OGRESGALS 29:90
ABADANA-BALTEZERS 3:29
BRUKLINA-JAUNPILS 3:91
BOSTONA-BALTEZERS 3:97
PASVALE-BALTEZERS 30:131
INDRAJI-KIZILKUMS 30:35
NANKINA-BALTEZERS 30:72
VILGALE-BALTEZERS 30:87
MENORKA-JAUNCIEMS 31:144
PENKULE-RAGACIEMS 31:149
PITRAGS-KIZILKUMS 31:22
HAVANNA-UPESCIEMS 31:44
TEBRIZA-KIZILKUMS 32:150
BERGENA-BALTEZERS 33:30
VAIOMINGA-METELIS 33:32
NEAPOLE-JAUNCIEMS 33:38
MIROSLAVA-POCIEMS 33:54
GVADELUPE-PITRAGS 33:67
PAKROJA-KALNCIEMS 34:137
KUDIMKARA-PITRAGS 34:147
JAUNCIEMS-KAZBEKS 34:22
ARTJOMA-UPESCIEMS 34:72
KAPSUKA-KIZILKUMS 34:75
METELIS-OGRESGALS 34:9
FUDZIJAMA-PITRAGS 34:91
MONGOLIJA-POCIEMS 34:97
DEMOINA-BALTEZERS 35:0
VANAGI-KATLAKALNS 35:128
HUDZONA-KALNCIEMS 35:19
SALINIEKI-KAZBEKS 35:37
HAVANNA-RAGACIEMS 35:56
ANGLIJA-BALTEZERS 35:58
OZOLAINE-JAUNPILS 35:64
TERMEZA-RAGACIEMS 35:71
KARTENA-KALNCIEMS 36:62
PAKROJA-OGRESGALS 37:11
DETROITA-MELNSILS 38:10
GARKALNE-JAUNPILS 38:115
BOSTONA-UPESCIEMS 39:119
ARKTIKA-RAGACIEMS 39:33
PENKULE-UPESCIEMS 39:34
MUKDENA-RAGACIEMS 39:9
TAIVANA-BALTEZERS 39:91
MILVOKI-KIZILKUMS 39:91
SAKSIJA-KIZILKUMS 4:122
UPESCIEMS-POCIEMS 4:133
SAFOLKA-OGRESGALS 4:135
TRIPOLE-KIZILKUMS 4:22
TEBRIZA-JAUNCIEMS 4:48
SERPUHOVA-PITRAGS 4:86
LATGALE-KALNCIEMS 40:114
POLOCKA-BALTEZERS 40:123
ORINOKO-KALNCIEMS 40:134
SEVILJA-JAUNCIEMS 41:2
METELIS-RAGACIEMS 41:61
GVAJAKILA-METELIS 41:73
HUDZONA-UPESCIEMS 42:119
KOLGUJEVA-ILMENIS 42:7
VATERLO-JAUNCIEMS 42:76
GVATEMALA-ISIKULS 43:115
TALLINA-KIZILKUMS 43:125
OGRESGALS-KAZBEKS 43:143
ULBROKA-RAGACIEMS 43:144
ZAMBIJA-KALNCIEMS 43:146
PITRAGS-UPESCIEMS 43:6
TOMBUKA-OGRESGALS 43:9
KAIBALA-KALNCIEMS 44:106
VILGALE-OGRESGALS 44:134
MILVOKI-RAGACIEMS 44:23
PAKROJA-KIZILKUMS 44:92
PAROGLE-BALTEZERS 45:12
ANGLIJA-UPESCIEMS 45:123
BALTEZERS-POCIEMS 45:136
SALINIEKI-POCIEMS 45:21
TOMBUKA-KALNCIEMS 45:8
KUDIMKARA-METELIS 46:42
PASIENA-KALNCIEMS 46:74
GDANSKA-UPESCIEMS 46:99
PERLOJA-RAGACIEMS 47:11
GRUZIJA-UPESCIEMS 47:112
BAISOGALA-PITRAGS 47:123
SALINIEKI-ISIKULS 47:144
PALERMO-KIZILKUMS 47:27
KAPZEME-JAUNCIEMS 48:50
RAVENNA-KALNCIEMS 49:125
MAFEKINGA-ISIKULS 49:147
LUCERNA-KALNCIEMS 49:75
KAPSUKA-RAGACIEMS 49:90
INDRAJI-BALTEZERS 5:100
KARTENA-JAUNCIEMS 5:137
BRATSKA-RAGACIEMS 5:20
POCIEMS-KIZILKUMS 5:42
UKRAINA-JAUNCIEMS 50:104
DUBLINA-OGRESGALS 50:49
BRRONKSA-MELNSILS 50:93
SALVANA-KALNCIEMS 51:87
RAVENNA-RAGACIEMS 51:9
KAZBEKS-RAGACIEMS 51:95
NAHODKA-BALTEZERS 52:112
VECBILSKA-METELIS 52:78
AUSTRIJA-JAUNPILS 52:87
MARVELE-UPESCIEMS 53:138
KAJENNA-UPESCIEMS 53:18
CEILONA-OGRESGALS 53:22
SEVERNA-BALTEZERS 53:24
SKOTIJA-OGRESGALS 53:52
GVADELUPE-ILMENIS 53:54
VERSEKA-KALNCIEMS 54:60
ROZALIMA-JAUNPILS 55:128
GRUZIJA-KIZILKUMS 55:134
VIDUKLE-KALNCIEMS 55:27
PORTSMUTA-ILMENIS 55:6
GVAJAKILA-POCIEMS 55:90
ARTJOMA-KIZILKUMS 56:29
HARBINA-JAUNCIEMS 56:52
TJANDZINA-ILMENIS 57:143
ZEMGALE-JAUNCIEMS 57:47
OBELIJA-OGRESGALS 57:91
KALNCIEMS-METELIS 58:112
KORSIKA-KALNCIEMS 58:117
TERMEZA-KALNCIEMS 58:13
ORINOKO-UPESCIEMS 58:14
TOTNEMA-KIZILKUMS 58:24
BENGAZI-KIZILKUMS 58:47
MAZSALACA-METELIS 58:88
SALVANA-RAGACIEMS 58:90
KARMELITI-ISIKULS 58:95
FORMOZA-JAUNCIEMS 58:97
BENGAZI-UPESCIEMS 59:2
KARMELITI-METELIS 59:32
KAPSUKA-UPESCIEMS 59:46
VIDZEME-UPESCIEMS 6:101
JAMAIKA-BALTEZERS 6:102
TALLINA-OGRESGALS 6:12
TELAVIVA-MELNSILS 6:123
KVEBEKA-UPESCIEMS 6:16
MEKSIKA-JAUNCIEMS 60:30
SLOVAKIJA-METELIS 60:34
AMERIKA-UPESCIEMS 60:35
HAIFONA-BALTEZERS 60:40
UKRAINA-RAGACIEMS 60:7
MAKENZI-KIZILKUMS 61:119
KARTENA-RAGACIEMS 61:19
PEDEDZE-BALTEZERS 61:24
GAIGALAVA-ISIKULS 62:116
BERGENA-JAUNCIEMS 62:134
TJANDZINA-PITRAGS 62:87
SAKSIJA-KALNCIEMS 62:88
RAVENNA-BALTEZERS 62:95
MAFEKINGA-KAZBEKS 63:103
KAPSUKA-OGRESGALS 63:14
ROSTOKA-OGRESGALS 63:93
EZERNIEKI-ISIKULS 63:94
GROZNIJA-JAUNPILS 64:132
ROSTOKA-KIZILKUMS 64:135
ASUNSJONA-POCIEMS 64:22
BERGENA-UPESCIEMS 64:56
INDRAJI-KALNCIEMS 64:61
SERBIJA-KIZILKUMS 64:81
MALAIZIJA-ISIKULS 65:111
KAMBIJA-KIZILKUMS 65:121
TAIVANA-OGRESGALS 65:131
GARKALNE-MELNSILS 65:46
PASVALE-RAGACIEMS 65:78
RANGUNA-JAUNCIEMS 66:115
LONDONA-KIZILKUMS 66:146
FORMOZA-OGRESGALS 66:25
HAUAIHE-BALTEZERS 66:39
PALERMO-UPESCIEMS 66:52
GVADELUPE-POCIEMS 66:59
LONDONA-BALTEZERS 67:112
SIESIKI-OGRESGALS 67:118
NANKINA-OGRESGALS 67:70
HAUAIHE-UPESCIEMS 67:93
KURZEME-OGRESGALS 68:29
PASIENA-RAGACIEMS 68:3
SEIRIJI-JAUNCIEMS 68:38
BARSELONA-KAZBEKS 68:41
LONDONA-KALNCIEMS 68:52
KAZBEKS-KIZILKUMS 69:111
BOBRUJSKA-ISIKULS 69:122
KAIBALA-RAGACIEMS 69:123
ILMENIS-OGRESGALS 7:121
MAJORKA-KIZILKUMS 7:127
GAIGALAVA-POCIEMS 7:14
TEBRIZA-OGRESGALS 7:48
LATGALE-JAUNCIEMS 7:5
SIDNEJA-KIZILKUMS 7:74
HARTUMA-UPESCIEMS 7:74
KARTENA-BALTEZERS 70:116
PITRAGS-JAUNCIEMS 70:48
TAIZEME-KIZILKUMS 70:50
TAHITI-KATLAKALNS 70:94
JERSIKA-BALTEZERS 71:95
MENORKA-OGRESGALS 72:32
ZAMBEZI-OGRESGALS 72:99
CARNIKAVA-ILMENIS 73:14
JAUNCIEMS-ILMENIS 73:21
NIKOSINA-MELNSILS 73:24
EZERNIEKI-METELIS 73:76
KVEBEKA-KIZILKUMS 73:83
TOMBUKA-BALTEZERS 73:90
PENKULE-OGRESGALS 74:145
POCIEMS-JAUNCIEMS 74:81
ULBROKA-OGRESGALS 75:0
BRISELE-RAGACIEMS 75:108
GVINEJA-RAGACIEMS 75:3
DUBLINA-BALTEZERS 75:37
