300
BANDARSERIBEGAVA-AIZKARPATI 89:123
RINGUVA-PORTOPRENSA 1:99
PORTOPRENSA-MEMFISA 120:10
KUMPOTE-SENTLORENSA 10:128
VAIGUVA-SENTLORENSA 10:16
HARKOVA-PORTOPRENSA 10:96
MADEIRA-SENTLORENSA 100:141
PORTOPRENSA-KORDOVA 142:100
BORNMUTA-PORTPRENSA 101:122
PORTOPRENSA-KUVEITA 120:102
VAINUTA-PORTOPRENSA 104:115
PORTOPRENSA-ARARATS 125:106
HOLIVUDA-PORTPRENSA 107:130
KRAKOVA-SENTLORENSA 107:148
ARARATS-SENTLORENSA 108:112
KATVARI-SENTLORENSA 108:132
KARPATI-SENTLORENSA 11:140
SENTLORENSA-MELNUPE 113:111
SENTLORENSA-KANDAVA 140:111
LAPLATA-SENTLORENSA 111:140
SENTLORENSA-IVANOVA 128:115
HOPJORA-SENTLORENSA 116:122
BOSFORS-PORTOPRENSA 117:129
PLIMUTA-PORTOPRENSA 117:130
MIASURA-SENTLORENSA 118:142
LAUTERE-PORTOPRENSA 12:107
PORTOPRENSA-TAIMIRA 115:12
SASNAVA-SENTLORENSA 12:120
PORTOPRENSA-KUTAISI 95:12
BIZERTA-PORTOPRENSA 123:132
SENTLORENSA-MASKAVA 131:125
KANZASA-SENTLORENSA 126:138
DEMBAVA-SENTLORENSA 126:149
PORTOPRENSA-CIECERE 136:127
PORTOPRENSA-OSTRAVA 137:13
PORTPRENSA-EVERESTS 45:13
PORTPRENSA-BARNAULA 62:13
PORTOPRENSA-POLTAVA 86:13
DORSETA-SENTLORENSA 130:143
PORTPRENSA-HAMBURGA 141:138
KRAKOVA-PORTOPRENSA 14:121
SENTLORENSA-MOLDOVA 149:14
SENTLORENSA-KINROSA 39:14
TOLJATI-SENTLORENSA 140:141
KALKUTA-PORTOPRENSA 15:55
ATABASKA-PORTPRENSA 16:102
PORTOPRENSA-RUSTAVI 141:16
MEMFISA-SENTLORENSA 16:52
PORTOPRENSA-TAMBOVA 30:17
PORTOPRENSA-MADEIRA 53:17
SENTLORENSA-TRIESTE 61:17
PORTOPRENSA-SALANTA 112:18
EIFRATA-PORTOPRENSA 18:132
SENTLORENSA-BARTUVA 145:18
PORTPRENSA-BRJANSKA 53:18
OKINAVA-SENTLORENSA 19:144
PORTOPRENSA-NIAGARA 96:19
ENGELSA-SENTLORENSA 2:124
VINDHUKA-PORTPRENSA 20:101
PORTOPRENSA-SASEKSA 138:20
SENTLORENSA-OSTRAVA 140:20
SENTLORENSA-DUBULTI 145:20
PORTOPRENSA-PEIPUSS 146:20
OKINAVA-PORTOPRENSA 20:64
SENTLORENSA-SANHOSE 113:21
PORTOPRENSA-OLSTERA 147:21
PORTOPRENSA-KUNCEVA 24:21
SENTLORENSA-UTREHTA 73:22
VALLETA-SENTLORENSA 22:94
SENTLORENSA-AIZPUTE 100:24
PORTOPRENSA-MALNAVA 105:24
SENTLORENSA-BENDERI 116:24
PIEDRUJA-PORTPRENSA 24:87
BEIRUTA-PORTOPRENSA 25:102
SENTLORENSA-PEIPUSS 119:25
IZMAIRA-SENTLORENSA 25:128
PORTPRENSA-KAVARSKA 133:25
SENTLORENSA-VAIDAVA 28:25
SENTLORENSA-POLTAVA 63:25
PORTPRENSA-DENKERKA 69:25
MALNAVA-SENTLORENSA 25:77
PORTOPRENSA-IZMAIRA 89:25
KANBERA-SENTLORENSA 26:29
SENTLORENSA-HONIARA 34:26
SENTLORENSA-ROSTOVA 89:26
SENTLORENSA-JELGAVA 140:27
MANAUSA-SENTLORENSA 27:33
SENTLORENSA-KUTAISI 51:27
PORTOPRENSA-DUBULTI 70:27
KUVEITA-SENTLORENSA 27:99
VADAKSTE-PORTPRENSA 28:111
KUNCEVA-SENTLORENSA 28:37
IRKUTSKA-PORTPRENSA 28:42
PORTPRENSA-DINKERSA 59:28
TAUNUSA-PORTOPRENSA 29:106
PORTOPRENSA-VAIVARI 113:29
MERGUPE-SENTLORENSA 29:52
JAKUTSKA-PORTPRENSA 29:66
ALAUKSTS-PORTPRENSA 3:28
SENTLORENSA-KUZBASS 59:3
VARDURA-SENTLORENSA 3:61
USUMBURA-PORTPRENSA 3:94
PORTOPRENSA-VORKUTA 120:31
SENTLORENSA-DELTUVA 112:32
PORTOPRENSA-LIETUVA 36:33
LAUDERI-PORTOPRENSA 33:64
RIETAVA-PORTOPRENSA 34:67
MANAGVA-PORTOPRENSA 35:125
BEIRUTA-SENTLORENSA 36:145
SENTLORENSA-BOSFORS 97:36
PRIEKULE-PORTPRENSA 37:57
SENTLORENSA-CIECERE 65:38
MALJORKA-PORTPRENSA 39:100
MANAUSA-PORTOPRENSA 39:135
SENTLORENSA-DAUGAVA 146:39
SENTLORENSA-KOVROVA 41:39
PLIMUTA-SENTLORENSA 39:45
KIROVSKA-PORTPRENSA 39:82
HONOLULU-PORTPRENSA 4:100
SENTLORENSA-TORONTO 149:4
PORTOPRENSA-LECKAVA 17:4
SENTLORENSA-KONAKRI 51:4
PORTOPRENSA-IVANOVA 134:40
MASKAVA-PORTOPRENSA 40:65
PORTOPRENSA-VAIGUVA 119:41
PORTOPRENSA-MIASURA 85:41
PORTOPRENSA-BENDERI 98:41
PORTOPRENSA-MOLDOVA 124:42
ZLATOUSA-PORTPRENSA 42:134
PORTOPRENSA-HOPJORA 146:42
SENTLORENSA-TAMPERE 121:43
PORTPRENSA-BELFASTA 75:43
PANEMUNE-PORTPRENSA 44:115
SENTLORENSA-ELBRUSS 128:44
SENTLORENSA-VAINUTA 87:44
PORTOPRENSA-KAUNATA 140:45
SENTLORENSA-TBILISI 145:45
PORTOPRENSA-KUZBASS 91:45
PORTOPRENSA-TARENTO 110:46
JELGAVA-PORTOPRENSA 47:65
LAUDERI-SENTLORENSA 5:6
LUGANSKA-PORTPRENSA 50:53
PORTOPRENSA-ENGELSA 69:50
PORTPRENSA-SOVETSKA 76:50
VAIDAVA-PORTOPRENSA 51:135
PORTPRENSA-SIESARTE 136:51
KUPRAVA-SENTLORENSA 51:55
SENTLORENSA-KAUNATA 67:51
ANGARSKA-PORTPRENSA 52:100
PORTOPRENSA-KANBERA 146:52
ESENTUKI-PORTPRENSA 52:61
DAUGAVA-PORTOPRENSA 53:68
SENTLORENSA-PRIPETE 95:53
SENTLORENSA-TEKSASA 118:54
PORTOPRENSA-TEKSASA 134:54
PORTPRENSA-NEBRASKA 55:54
BEBRUSI-SENTLORENSA 54:66
LINKUVA-SENTLORENSA 54:89
SENTLORENSA-RIETAVA 63:55
KALKUTA-SENTLORENSA 56:100
PORTPRENSA-VECSAULE 105:56
PORTPRENSA-STAMBULA 141:56
SENTLORENSA-EIFRATA 74:56
TOSMARE-PORTOPRENSA 56:93
VAIVARI-SENTLORENSA 57:102
SENTLORENSA-MADRASA 132:57
PORTOPRENSA-BEBRUSI 77:57
SENTLORENSA-SUMATRA 60:58
KINROSA-PORTOPRENSA 58:94
GURJEVA-PORTOPRENSA 59:122
ELBRUSS-PORTOPRENSA 59:135
PORTOPRENSA-UTREHTA 110:6
SIRDARJA-PORTPRENSA 6:132
AMUDARJA-PORTPRENSA 6:46
PORTPRENSA-MELBURNA 57:6
PORTOPRENSA-VALLETA 61:6
PORTOPRENSA-DONBASS 91:6
TAURUPE-SENTLORENSA 60:126
SENTLORENSA-LECKAVA 79:60
PORTOPRENSA-DENVERA 95:61
SENTLORENSA-KANGARI 102:62
PORTPRENSA-JURBARKA 109:62
PORTOPRENSA-TORONTO 66:62
SENTLORENSA-LAUKUVA 71:62
PORTOPRENSA-LAPLATA 99:62
MAIKOPA-SENTLORENSA 63:70
SENTLORENSA-SALANTA 102:64
TOLJATI-PORTOPRENSA 65:128
LINKUVA-PORTOPRENSA 65:68
BARTUVA-PORTOPRENSA 65:96
PORTOPRENSA-SANHOSE 103:66
ANADIRA-SENTLORENSA 66:110
PORTPRENSA-SARANSKA 127:66
PORTOPRENSA-KUPRAVA 110:68
SENTLORENSA-TAUNUSA 21:7
INSBURGA-PORTPRENSA 70:123
PORTPRENSA-INSBRUKA 148:70
SENTLORENSA-TARENTO 116:72
ERFURTE-SENTLORENSA 72:134
PORTOPRENSA-KARPATI 148:72
SENTLORENSA-TOSMARE 99:73
OLSTERA-SENTLORENSA 74:76
PORTPRENSA-KARAKUMS 93:74
TAIMIRA-SENTLORENSA 74:94
PORTOPRENSA-ROSTOVA 81:76
PORTOPRENSA-MADRASA 96:76
LIETUVA-SENTLORENSA 78:106
PORTOPRENSA-SUMATRA 133:78
TRIESTE-PORTOPRENSA 79:89
KONAKRI-PORTOPRENSA 8:44
PORTOPRENSA-ANADIRA 73:8
PORTOPRENSA-AIZPUTE 73:8
SENTLORENSA-DONBASS 78:8
PORTOPRENSA-KOVROVA 84:8
PORTPRENSA-SANPAULU 140:80
SINTAUTI-PORTPRENSA 82:105
PORTOPRENSA-DELTUVA 127:82
MACESTA-SENTLORENSA 83:117
LIELUPE-SENTLORENSA 83:136
LAUKUVA-PORTOPRENSA 84:108
VAGADUGU-PORTPRENSA 84:122
PORTOPRENSA-MACESTA 146:84
PORTOPRENSA-KANDAVA 101:85
KATVARI-PORTOPRENSA 85:117
PORTOPRENSA-PRIPETE 119:85
KAHOVSKA-PORTPRENSA 85:149
KANGARI-PORTOPRENSA 89:93
SENTLORENSA-BIZERTA 123:9
PORTOPRENSA-DORSETA 131:9
LAUTERE-SENTLORENSA 9:18
SENTLORENSA-NIAGARA 71:9
DEMBAVA-PORTOPRENSA 90:128
SENTLORENSA-RINGUVA 136:90
SENTLORENSA-MANAGVA 145:90
RUSTAVI-SENTLORENSA 90:95
TBILISI-PORTOPRENSA 92:107
SENTLORENSA-KORDOVA 122:94
PORTOPRENSA-SASNAVA 129:95
PORTOPRENSA-TAMPERE 132:95
SENTLORENSA-GURJEVA 144:95
HARKOVA-SENTLORENSA 96:104
SENTLORENSA-DENVERA 112:97
ERFURTE-PORTOPRENSA 97:114
PORTOPRENSA-KUMPOTE 146:97
ATLANTA-SENTLORENSA 97:150
SENTLORENSA-SASEKSA 110:98
VORKUTA-SENTLORENSA 98:124
HONIARA-PORTOPRENSA 98:146
PORTPRENSA-RAISKUMS 101:99
VALENSIJA-ZILAISKALNS 42:1
VALENSIJA-KISLOVODSKA 8:3
VALENSIJA-SEVASTOPOLE 39:31
VALENSIJA-KONEKTIKUTA 79:33
JAUNGULBENE-VALENSIJA 49:108
SAULESKALNS-VALENSIJA 54:76
VALENSIJA-KESONSITIJA 142:55
VALENSIJA-MURMASTIENE 75:55
VALENSIJA-SKAISTKALNE 143:67
JAUNGVINEJA-VALENSIJA 86:132
KESONSITIJA-KONEKTIKUTA 135:11
KESONSITIJA-JAUNGVINEJA 51:12
SANSEVASTJANA-SINSITIJA 127:150
KISLOVODSKA-KESONSITIJA 23:112
KESONSITIJA-JAUNGULBENE 63:38
KESONSITIJA-MURMASTIENE 112:5
SEVASTOPOLE-KESONSITIJA 63:103
SKAISTKALNE-KESONSITIJA 65:115
ZILAISKALNS-KESONSITIJA 68:90
SAULESKALNS-KESONSITIJA 7:74
LUGANSKA-ZILAISKALNS 22:0
SARANSKA-MURMASTIENE 68:10
JAUNGULBENE-LUGANSKA 107:116
JAUNGULBENE-SARANSKA 108:150
KONEKTIKUTA-SARANSKA 138:145
SAULESKALNS-SARANSKA 20:77
ZILAISKALNS-SARANSKA 21:106
KISLOVODSKA-LUGANSKA 25:66
JAUNGVINEJA-SARANSKA 26:112
SAULESKALNS-BRJANSKA 27:143
MURMASTIENE-BRJANSKA 28:103
BRJANSKA-SEVASTOPOLE 73:29
SARANSKA-SEVASTOPOLE 71:35
BRJANSKA-SKAISTKALNE 148:38
LUGANSKA-JAUNGVINEJA 91:44
BRJANSKA-JAUNGVINEJA 66:47
SKAISTKALNE-SARANSKA 49:50
SAULESKALNS-LUGANSKA 50:116
MURMASTIENE-LUGANSKA 50:134
LUGANSKA-SKAISTKALNE 144:53
BRJANSKA-ZILAISKALNS 83:53
KISLOVODSKA-BRJANSKA 56:111
LUGANSKA-KONEKTIKUTA 113:78
KISLOVODSKA-SARANSKA 8:39
KONEKTIKUTA-BRJANSKA 84:135
LUGANSKA-SEVASTOPOLE 132:96
JAUNGULBENE-BRJANSKA 97:133
SALANTA-JAUNGULBENE 118:115
SEVASTOPOLE-ATLANTA 117:146
JAUNGVINEJA-ATLANTA 123:150
JAUNGULBENE-ATLANTA 17:52
KISLOVODSKA-SALANTA 29:67
ATLANTA-KISLOVODSKA 47:37
SALANTA-SEVASTOPOLE 125:41
SKAISTKALNE-ATLANTA 44:58
ATLANTA-KONEKTIKUTA 54:51
SALANTA-JAUNGVINEJA 94:56
SALANTA-KONEKTIKUTA 118:61
SKAISTKALNE-SALANTA 71:139
SINTAUTI-SANSEVASTJANA 148:124
DIMITROVGRADA-KENTERBERIJA 88:133
KENTERBERIJA-SANSEVASTJANA 137:96
SENTLORENSA-SANSEVASTJANA 143:60
SENTLORENSA-NOVOMOSKOVSKA 146:68
DIMITROVGRADA-SENTLORENSA 72:78
SANSEVASTJANA-SENTLUISA 16:113
TORONTO-JAUNGULBENE 133:127
JAUNGVINEJA-TORONTO 132:143
SEVASTOPOLE-TARENTO 16:126
TORONTO-SEVASTOPOLE 126:18
JAUNGVINEJA-TARENTO 37:55
JAUNGULBENE-TARENTO 52:100
TORONTO-KISLOVODSKA 109:81
KISLOVODSKA-TARENTO 98:133
SANANTONIO-JAUNGULBENE 67:26
SANANTONIO-KISLOVODSKA 58:42
JAUNGVINEJA-SANANTONIO 46:147
SANANTONIO-SEVASTOPOLE 114:67
SANSEVASTJANA-VENTSPILS 66:101
DIMITROVGRADA-VENTSPILS 82:140
MELNUPE-LEJASSTRAZDI 115:113
KANZASSITIJA-MELNUPE 12:93
PONAKSTEETLS-MELNUPE 3:34
BUENOSAIRESA-MELNUPE 38:51
MELNUPE-KENTERBERIJA 80:38
STARAPLANINA-MELNUPE 53:81
BALTKRIEVIJA-MELNUPE 67:132
TAUNUSA-KANZASSITIJA 53:35
PONAKSTEETLS-TAUNUSA 5:24
TAUNUSA-BUENOSAIRESA 135:62
TAUNUSA-LEJASSTRAZDI 98:69
SANSEVASTJANA-DENVERA 102:103
DIMITROVGRADA-DENVERA 54:58
BRAZAVILA-TARENTO 0:19
TARENTO-MONROVIJA 48:0
RIODEORO-LABANOVA 12:1
SEVANS-VALPARAISO 1:3
VALPARAISO-SAMAVS 109:10
RIODEORO-VECSAULE 110:10
LECKAVA-PORTORIKO 10:62
VAINUTA-PORTORIKO 102:105
KUZBASS-PORTORIKO 102:127
PORTORIKO-KUVEITA 119:103
KZILORDA-RIODEORO 103:145
PORTORIKO-TOLJATI 146:104
VENERS-PUERTORIKO 104:146
DEMBAVA-PORTORIKO 105:112
PORTORIKO-ARARATS 136:105
PORTORIKO-POLTAVA 125:106
RIODEORO-RAISKUMS 124:108
RIODEORO-SOVETSKA 133:11
RIODEORO-EVERESTS 25:11
SENTLUISA-TORONTO 110:128
RIODEORO-ALEKSOTA 130:110
RIODEORO-BORNMUTA 113:111
SARANSKA-RIODEORO 111:142
SAMAVS-PUERTORIKO 113:141
ATLASS-PUERTORIKO 113:142
PLIMUTA-PORTORIKO 113:146
TARENTO-HAMILTONA 145:117
DORSETA-PORTORIKO 118:147
PORTORIKO-KARPATI 125:12
RIODEORO-ALAUKSTS 138:12
SANANTONIO-NUKUSU 24:12
HANNOVERE-TORONTO 12:28
HANNOVERE-TARENTO 12:34
PORTORIKO-DAUGAVA 94:12
INSBURGA-RIODEORO 122:135
KUNCEVA-PORTORIKO 128:149
RIODEORO-STAMBULA 136:129
TARENTO-EDINBURGA 142:129
ZALCBURGA-TARENTO 13:134
PORTOVANA-TORONTO 13:138
PORTORIKO-SASNAVA 138:134
PAMIRS-VALPARAISO 14:105
MALJORKA-RIODEORO 14:146
ELTONS-PUERTORIKO 15:77
PRIPETE-PORTORIKO 15:78
RIETAVA-PORTORIKO 16:105
VEZUVS-VALPARAISO 16:135
LINKUVA-PORTORIKO 16:142
JELGAVA-PORTORIKO 17:113
TARENTO-FOLKSTONA 20:17
HONOLULU-RIODEORO 17:65
RIODEORO-PANEMUNE 84:17
PORTORIKO-TBILISI 86:17
TARENTO-ORENBURGA 130:18
VAIDAVA-PORTORIKO 18:150
SALANTA-PORTORIKO 18:43
BEBRUSI-PORTORIKO 18:53
RIODEORO-SIESARTE 87:18
VALPARAISO-INESIS 28:19
HARKOVA-PORTORIKO 2:119
RIODEORO-KIROVSKA 107:20
PORTORIKO-DUBULTI 24:21
DONBASS-PORTORIKO 21:94
GALGAUSKA-TARENTO 21:94
VAIGUVA-PORTORIKO 22:100
LIZUMS-VALPARAISO 22:135
RIODEORO-ATABASKA 34:22
PUERTORIKO-KANNAS 109:23
RIODEORO-KARAKUMS 142:23
FOLRIVERA-TORONTO 23:145
PUERTORIKO-ALTAJS 149:23
DORTMUNDE-TARENTO 23:51
TORONTO-FOLKSTONA 69:23
DENKERKA-RIODEORO 24:145
PITSBURGA-TARENTO 24:62
TORONTO-DORTMUNDA 115:26
ALATAU-VALPARAISO 26:120
ROSTOVA-PORTORIKO 27:133
PORTORIKO-UTREHTA 29:27
ORENBURGA-TORONTO 27:64
PORTORIKO-TARENTO 79:27
RIODEORO-IRKUTSKA 100:28
PORTORIKO-LAPLATA 120:28
ESENTUKI-RIODEORO 28:141
SARAGOSA-RIODEORO 28:146
TORONTO-MONROVIJA 49:28
VALPARAISO-SALDUS 10:3
RIODEORO-BRJANSKA 116:3
RIODEORO-MELBURNA 146:3
KANDAVA-PORTORIKO 3:32
ALATAU-SANANTONIO 3:33
DORTMUNDA-TARENTO 3:62
PUERTORIKO-INESIS 92:3
RIODEORO-HAMBURGA 89:30
PEIPUSS-PORTORIKO 30:99
VORKUTA-PORTORIKO 31:102
VALPARAISO-MASTIS 80:31
USUMBURA-RIODEORO 32:135
PAMIRS-PUERTORIKO 32:35
PRIEKULE-RIODEORO 33:101
PUERTORIKO-TUKUMS 144:33
RIODEORO-KAVARSKA 66:33
PELTES-VALPARAISO 33:92
SIRDARJA-RIODEORO 34:108
RIODEORO-NEBRASKA 114:34
VINDHUKA-RIODEORO 35:73
VALPARAISO-TUKUMS 109:36
RINGUVA-PORTORIKO 36:88
SANANTONIO-MAPUTU 92:36
BEIRUTA-PORTORIKO 37:139
PORTORIKO-BIZERTA 149:37
RIODEORO-VADAKSTE 48:37
TORONTO-REDRIVERA 99:37
PORTORIKO-MASKAVA 116:38
PORTORIKO-KUTAISI 138:38
TORONTO-GALGAUSKA 41:38
MALNAVA-PORTORIKO 4:110
SASEKSA-PORTORIKO 4:97
RIODEORO-KRAKATAU 50:40
RIODEORO-JURBARKA 132:41
RIODEORO-MINESOTA 69:41
VENERS-VALPARAISO 41:76
VALPARAISO-ATLASS 80:41
TORONTO-SKAUDVILE 107:42
MASTIS-PUERTORIKO 42:142
PITSBURGA-TORONTO 42:84
PUERTORIKO-OLIMPS 102:43
LUGANSKA-RIODEORO 43:55
RIODEORO-HOLIVUDA 79:43
PUERTORIKO-SALDUS 93:43
INSBRUKA-RIODEORO 44:97
KAMPIS-VALPARAISO 45:110
RIODEORO-JAKUTSKA 48:45
TARENTO-BELOSTOKA 88:46
PORTORIKO-MANAUSA 121:47
GLAZGOVA-RIODEORO 47:69
RIODEORO-KEMEROVA 124:49
MAPUTU-PUERTORIKO 5:12
PORTORIKO-MOLDOVA 125:5
PORTORIKO-KUPRAVA 51:5
PORTORIKO-AIZPUTE 73:5
PUERTORIKO-SEVANS 90:5
TORONTO-EDINBURGA 145:50
TORONTO-KINGSTONA 73:50
KANNAS-VALPARAISO 51:109
OLIMPS-VALPARAISO 51:148
PORTORIKO-BARTUVA 56:52
PORTORIKO-MANAGVA 72:52
PUERTORIKO-ALATAU 79:53
TARENTO-KINGSTONA 80:53
BELFASTA-RIODEORO 53:95
PARAGVAJA-TORONTO 54:75
BRAZAVILA-TORONTO 55:108
RIODEORO-OKSFORDA 140:55
SANHOSE-PORTORIKO 56:125
KUMPOTE-PORTORIKO 57:100
KORDOVA-PORTORIKO 57:115
VALPARAISO-ELTONS 60:57
DINKERSA-RIODEORO 57:85
VEZUVS-PUERTORIKO 57:87
PORTORIKO-ELBRUSS 110:58
TARENTO-KULAUTUVA 139:59
FOLRIVERA-TARENTO 59:82
OKINAVA-PORTORIKO 6:115
PORTORIKO-IVANOVA 15:6
PORTORIKO-DELTUVA 52:6
OSTRAVA-PORTORIKO 6:67
TORONTO-LIBREVILA 75:6
MEMFISA-PORTORIKO 60:107
KRAKOVA-PORTORIKO 60:125
KAMPIS-PUERTORIKO 61:85
RUSTAVI-PORTORIKO 62:64
TORONTO-HAMILTONA 85:62
RIODEORO-KAHOVSKA 115:63
PORTORIKO-VALLETA 133:64
PUERTORIKO-PELTES 113:65
SINTAUTI-RIODEORO 65:114
PORTORIKO-KINROSA 125:65
TAMBOVA-PORTORIKO 65:68
PORTOVANA-TARENTO 66:101
PIEDRUJA-RIODEORO 66:78
RIODEORO-ZLATOUSA 131:67
PUERTORIKO-NUKUSU 74:67
TARENTO-SKAUDVILE 122:68
TARENTO-PARAGVAJA 77:68
KANZASA-PORTORIKO 68:98
PORTORIKO-LAUKUVA 123:69
LIZUMS-PUERTORIKO 69:125
MAPUTU-VALPARAISO 69:84
SANPAULU-RIODEORO 69:93
ERFURTE-PORTORIKO 7:139
ALTAJS-VALPARAISO 7:83
RIODEORO-ANGARSKA 106:70
MELARS-PUERTORIKO 74:149
PORTORIKO-ATLANTA 84:74
BOSFORS-PORTORIKO 74:95
NUKUSU-VALPARAISO 75:96
TRIESTE-PORTORIKO 76:83
TORONTO-DORTMUNDE 134:78
PORTORIKO-EIFRATA 132:79
TARENTO-AUGSBURGA 142:8
PORTORIKO-MACESTA 113:80
PORTORIKO-KOVROVA 133:81
TORONTO-ZALCBURGA 145:81
REDRIVERA-TARENTO 81:82
TARENTO-SENTLUISA 90:81
TARENTO-LIBREVILA 108:82
PORTORIKO-GURJEVA 145:84
PORTORIKO-TORONTO 148:86
KAUNATA-PORTORIKO 9:30
TEKSASA-PORTORIKO 9:73
ENGELSA-PORTORIKO 90:107
TAUNUSA-PORTORIKO 91:129
MADRASA-PORTORIKO 91:149
RIODEORO-VAGADUGU 119:92
PORTORIKO-LIETUVA 123:92
BELOSTOKA-TORONTO 93:110
RIODEORO-AMUDARJA 140:94
AUGSBURGA-TORONTO 94:96
BARNAULA-RIODEORO 95:114
TORONTO-KULAUTUVA 101:97
KALKUTA-PORTORIKO 98:108
MELARS-VALPARAISO 98:121
NOVGORODA-MORICSALA 11:0
BELGORODA-AUGSBURGA 46:0
NOVGORODA-VERAKRUSA 140:101
BELGORODA-EDINBURGA 126:108
BELGORODA-REDRIVERA 135:109
NOVGORODA-PITSBURGA 16:11
BELGORODA-MONROVIJA 117:111
ZALCBURGA-NOVGORODA 112:121
NOVGORODA-MANHATANA 134:116
BELGORODA-ORENBURGA 139:129
NOVGORODA-BELGORODA 148:139
NOVGORODA-DORTMUNDA 149:14
HANNOVERE-BELGORODA 16:42
NOVGORODA-FOLKSTONA 36:18
NOVGORODA-EDINBURGA 84:18
NOVGORODA-MENHETENA 113:19
BELGORODA-HAMILTONA 43:2
ORENBURGA-NOVGORODA 21:83
BELGORODA-PITSBURGA 143:23
BELGORODA-GALGAUSKA 41:26
BELGORODA-BRAZAVILA 50:27
BELOSTOKA-NOVGORODA 28:100
LUCAVSALA-BELGORODA 29:101
NOVGORODA-SENTLUISA 113:29
BELGORODA-LIBREVILA 144:30
BELGORODA-SINSITIJA 40:30
NOVGORODA-PARAGVAJA 89:30
NOVGORODA-GALGAUSKA 56:31
TAGANROGA-BELGORODA 33:60
NOVGORODA-MONROVIJA 104:37
NOVGORODA-TAGANROGA 68:4
HANNOVERE-NOVGORODA 40:101
BELGORODA-FOLRIVERA 88:40
ZALCBURGA-BELGORODA 41:49
BELGORODA-KINGSTONA 76:41
NOVGORODA-VALENSIJA 55:42
VALENSIJA-BELGORODA 43:137
PARAGVAJA-BELGORODA 43:57
BELGORODA-MORICSALA 48:44
AUGSBURGA-NOVGORODA 45:48
FEODOSIJA-NOVGORODA 46:69
FOLKSTONA-BELGORODA 5:137
NOVGORODA-KINGSTONA 85:5
SOMERSETA-NOVGORODA 51:80
BELGORODA-FEODOSIJA 113:56
NOVGORODA-DORTMUNDE 106:57
DORTMUNDA-BELGORODA 57:127
BELGORODA-PORTOVANA 143:58
SKAUDVILE-BELGORODA 58:59
BELGORODA-BELOSTOKA 140:59
SOMERSETA-BELGORODA 64:79
FOLRIVERA-NOVGORODA 64:80
MENHETENA-BELGORODA 65:114
SINSITIJA-NOVGORODA 65:150
SKAUDVILE-NOVGORODA 65:83
DORTMUNDE-BELGORODA 67:134
NOVGORODA-LUCAVSALA 89:67
HAMILTONA-NOVGORODA 68:89
NOVGORODA-REDRIVERA 24:7
BELGORODA-MANHATANA 134:72
LIBREVILA-NOVGORODA 73:112
SENTLUISA-BELGORODA 73:85
KULAUTUVA-BELGORODA 74:96
BRAZAVILA-NOVGORODA 83:135
VERAKRUSA-BELGORODA 87:142
PORTOVANA-NOVGORODA 9:105
NOVGORODA-KULAUTUVA 143:91
RIODEORO-NOVOMOSKOVSKA 119:17
RIODEORO-SANSEVASTJANA 149:67
DIMITROVGRADA-RIODEORO 73:142
FEODOSIJA-SANSEVASTJANA 119:66
KRASNOVODSKA-KAHOVSKA 20:1
HOLIVUDA-KRASNOVODSKA 1:74
ALAUKSTS-KRASNOVODSKA 101:116
KRASNOVODSKA-KRAKATAU 144:103
KRASNOVODSKA-SIESARTE 53:11
BELFASTA-KRASNOVODSKA 11:74
MELBURNA-KRASNOVODSKA 118:144
PRIEKULE-KRASNOVODSKA 12:71
KRASNOVODSKA-BARNAULA 127:13
KRASNOVODSKA-ANGARSKA 18:13
KRASNOVODSKA-EVERESTS 145:142
INSBURGA-KRASNOVODSKA 15:68
KRASNOVODSKA-SINTAUTI 48:2
KRASNOVODSKA-VECSAULE 106:24
KRASNOVODSKA-MALJORKA 32:24
LUGANSKA-KRASNOVODSKA 27:53
KRASNOVODSKA-PIEDRUJA 55:3
KRASNOVODSKA-VAGADUGU 143:31
KRASNOVODSKA-NEBRASKA 72:38
KRASNOVODSKA-KAVARSKA 48:4
HAMBURGA-KRASNOVODSKA 40:54
AMUDARJA-KRASNOVODSKA 41:55
KRASNOVODSKA-HONOLULU 62:45
KRASNOVODSKA-BORNMUTA 138:48
KRASNOVODSKA-DENKERKA 52:50
PANEMUNE-KRASNOVODSKA 50:56
KRASNOVODSKA-BRJANSKA 100:51
INSBRUKA-KRASNOVODSKA 52:119
SOVETSKA-KRASNOVODSKA 56:83
KZILORDA-KRASNOVODSKA 6:111
KRASNOVODSKA-SARANSKA 91:6
KRASNOVODSKA-IRKUTSKA 111:63
KRASNOVODSKA-SANPAULU 147:64
KRASNOVODSKA-USUMBURA 107:73
KRASNOVODSKA-JAKUTSKA 94:73
KRASNOVODSKA-DINKERSA 97:78
KRASNOVODSKA-JURBARKA 126:79
KARAKUMS-KRASNOVODSKA 8:26
ESENTUKI-KRASNOVODSKA 83:127
SIRDARJA-KRASNOVODSKA 87:101
KRASNOVODSKA-ATABASKA 112:87
KRASNOVODSKA-ZLATOUSA 118:88
KIROVSKA-KRASNOVODSKA 9:19
KRASNOVODSKA-STAMBULA 137:91
KRASNOVODSKA-RAISKUMS 117:93
KRASNOVODSKA-VINDHUKA 120:94
KRASNOVODSKA-VADAKSTE 135:95
OKSFORDA-KRASNOVODSKA 96:103
PORTOVANA-TAGANROGA 101:105
TAGANROGA-SOMERSETA 141:102
LUCAVSALA-TAGANROGA 11:115
SKAUDVILE-TAGANROGA 116:143
ZALCBURGA-TAGANROGA 118:135
