300
POCIEMS-VENTSPILS 2:0
SIRDARJA-BALATONS 0:20
KUNLUNS-PRETORIJA 38:0
VENERS-ZEMMERINGS 0:42
BALATONS-HAMBURGA 43:0
VETERNS-HONDURASA 88:0
VETERNS-BREDFORDA 89:0
PORTSMUTA-POCIEMS 1:114
MADEIRA-KRUSTPILS 1:115
MELNUPE-MARIANNAS 1:25
RAVENNA-BALTEZERS 1:30
CEILONA-BALTEZERS 1:34
TAIMIRA-MARIANNAS 1:4
KUNLUNS-BREDFORDA 46:1
PEREKOPS-LABANOVA 90:1
BALTEZERS-BERGENA 123:10
SALASPILS-KUNLUNS 100:148
REINJORA-PEREKOPS 101:108
VETERNS-BORNHOLMA 134:101
MIASURA-VENTSPILS 103:119
KARAKORUMS-ATLASS 126:104
MARIANNAS-ANADIRA 129:104
INSBURGA-BALATONS 106:119
GLAZGOVA-BALATONS 106:150
SALASPILS-LAUDERI 117:107
PAMIRS-KARAKORUMS 107:117
MIASURA-KRUSTPILS 107:135
TAIVANA-BALTEZERS 108:144
KANBERA-SALASPILS 109:124
BALTEZERS-MERGUPE 125:11
SEVERNA-BALTEZERS 11:14
ANADIRA-SALASPILS 11:33
KATVARI-BALTEZERS 110:115
SIESARTE-PEREKOPS 110:140
IZMAIRA-BALTEZERS 111:119
POCIEMS-STOKHOLMA 149:112
PEREKOPS-RIODEORO 144:113
BOSFORS-SKAGERAKS 117:133
MARIANNAS-KANGARI 120:119
HONDURASA-POCIEMS 119:135
BALTEZERS-VARDURA 119:12
MINESOTA-BALATONS 12:149
KEMEROVA-BALATONS 12:83
MARIANNAS-MERGUPE 86:12
BALDONE-BALTEZERS 122:145
SALASPILS-TAMPERE 134:123
EKVADORA-PEREKOPS 123:81
POCIEMS-PORTONOVA 148:125
KANNAS-KARAKORUMS 126:139
KALABRIJA-POCIEMS 129:137
MELNUPE-BALTEZERS 13:117
BALTEZERS-VAIVARI 141:13
KUNLUNS-BALTEZERS 13:23
KATVARI-SALASPILS 13:99
CIECERE-BALTEZERS 130:134
SUMATRA-KRUSTPILS 131:150
BALTEZERS-LOZANNA 144:134
BALTEZERS-AMAZONE 145:136
HONIARA-KRUSTPILS 138:140
KUNLUNS-BELGORODA 104:14
TAIMIRA-KRUSTPILS 14:107
ATLASS-ZEMMERINGS 14:119
POCIEMS-SALASPILS 140:14
SALASPILS-LAUTERE 27:14
BALTEZERS-LAZDONA 40:14
MURMANSKA-KUNLUNS 149:72
OREGONA-BALTEZERS 15:101
DENVERA-SALASPILS 15:119
KUNLUNS-TIRASPOLE 129:15
MARIANNAS-POCIEMS 15:136
SALASPILS-TAIMIRA 30:15
VENTSPILS-BENDERI 44:15
SALDUS-KARAKORUMS 15:53
BENDERI-MARIANNAS 15:99
POCIEMS-KOSTARIKA 119:16
POCIEMS-BELGORODA 123:16
ELTONS-KARAKORUMS 16:21
SALASPILS-OLSTERA 27:16
SUMATRA-VENTSPILS 16:54
MALJORKA-PEREKOPS 16:75
SKAGERAKS-KUNLUNS 16:91
VERAKRUSA-BOSFORS 17:144
TAIMIRA-BALTEZERS 17:39
KUNLUNS-VIKTORIJA 47:17
VARDURA-VENTSPILS 17:50
KONAKRI-SKAGERAKS 17:72
MINHENE-BALTEZERS 18:56
CIECERE-SKAGERAKS 18:58
BALATONS-KZILORDA 71:18
BELGORODA-VETERNS 18:97
MURMANSKA-POCIEMS 19:127
ZEMMERINGS-SALDUS 53:19
VIKTORIJA-VETERNS 19:86
SALASPILS-BOSFORS 98:19
VENTSPILS-OLSTERA 52:2
KRUSTPILS-KONAKRI 61:2
KONAKRI-BALTEZERS 2:65
KARAKORUMS-OLIMPS 76:20
ZEMMERINGS-PAMIRS 88:20
MARIANNAS-MAIKOPA 88:20
KUNLUNS-ZVIEDRIJA 109:21
BALTEZERS-MUKDENA 55:21
PEREKOPS-KZILORDA 88:21
KRUSTPILS-OLSTERA 89:21
HAMBURGA-PEREKOPS 21:93
ZAMBEZI-BALTEZERS 24:105
DEMOINA-BALTEZERS 24:57
MARIANNAS-IZMAIRA 96:24
ZEMMERINGS-MELARS 117:25
MARIANNAS-LAUTERE 30:25
SALASPILS-VAIVARI 60:25
KUSTANAJA-POCIEMS 25:77
POCIEMS-BALTEZERS 25:81
KARAKORUMS-INESIS 81:25
ZEMMERINGS-VEZUVS 92:25
VENTSPILS-VAIVARI 116:26
KANGARI-BALTEZERS 26:40
PRETORIJA-VETERNS 26:46
VENTSPILS-KONAKRI 83:26
VENTSPILS-IZMAIRA 108:27
BALATONS-MALJORKA 118:27
POCIEMS-INVERNESA 126:27
TOSMARE-SKAGERAKS 27:98
VETERNS-SALASPILS 131:28
ARIZONA-BALTEZERS 28:132
KATVARI-VENTSPILS 28:71
BALATONS-RIODEORO 118:29
HUDZONA-BALTEZERS 29:124
BALATONS-SARAGOSA 139:29
BALTEZERS-UKRAINA 34:29
OLSTERA-BALTEZERS 3:117
MURMANSKA-VETERNS 3:120
ELTONS-ZEMMERINGS 3:131
POCIEMS-TAGANROGA 142:3
BALTEZERS-EGLAINE 148:3
ANADIRA-VENTSPILS 3:56
MARIANNAS-MADEIRA 61:3
BALTEZERS-KAJENNA 68:3
MIASURA-BALTEZERS 3:9
VENERS-KARAKORUMS 30:122
KRUSTPILS-LAUTERE 133:30
SALASPILS-MIASURA 145:30
SALASPILS-HOPJORA 47:31
BALTEZERS-NANKINA 80:31
TAMPERE-MARIANNAS 31:86
BALATONS-MELBURNA 108:32
DENVERA-VENTSPILS 32:120
PEREKOPS-KEMEROVA 147:32
PORTORIKO-VETERNS 32:36
GULBENE-BALTEZERS 32:46
DENVERA-MARIANNAS 32:90
BALATONS-REINJORA 93:32
PEREKOPS-GLAZGOVA 132:33
BOSFORS-KRUSTPILS 33:136
VETERNS-TAGANROGA 90:33
ZEMMERINGS-KAMPIS 100:34
BALTEZERS-ARAGONA 113:34
SALASPILS-MADEIRA 118:34
VAIVARI-MARIANNAS 34:44
VENTSPILS-KANGARI 50:35
MARIANNAS-OLSTERA 101:36
ANADIRA-BALTEZERS 36:112
BALTEZERS-TOSMARE 123:36
VETERNS-VENTSPILS 60:36
VEZUVS-KARAKORUMS 36:74
KRUSTPILS-HOPJORA 84:36
BALTEZERS-LIVORNA 90:36
BALATONS-ALEKSOTA 92:36
MARIANNAS-KONAKRI 123:37
SKAGERAKS-BENDERI 82:37
KUNLUNS-KOSTARIKA 94:37
BENDERI-SALASPILS 38:141
HONIARA-BALTEZERS 38:144
BALTEZERS-BENDERI 146:38
POCIEMS-TIRASPOLE 70:38
DINKERSA-BALATONS 38:73
KRUSTPILS-TOSMARE 122:39
MEISENE-BALTEZERS 39:136
BEBRENE-BALTEZERS 39:84
FLANDRIJA-VETERNS 39:91
GUBERNIJA-POCIEMS 4:133
VERAKRUSA-KUNLUNS 4:134
SKAGERAKS-VAIVARI 19:4
TERNOPOLE-VETERNS 4:30
VETERNS-KALABRIJA 54:4
BALTEZERS-LONDONA 63:4
VENTSPILS-TAMPERE 75:4
NIAGARA-MARIANNAS 4:94
CINCINATI-POCIEMS 40:105
MARIANNAS-HONIARA 54:40
POCIEMS-ZVIEDRIJA 137:41
NIAGARA-BALTEZERS 41:84
POCIEMS-KRUSTPILS 88:41
POCIEMS-PORTORIKO 89:41
MELARS-KARAKORUMS 41:94
POCIEMS-PRETORIJA 134:42
BALTEZERS-PILZENE 149:42
KRUSTPILS-KATVARI 109:43
SAIGONA-BALTEZERS 44:60
KRUSTPILS-NIAGARA 128:45
BALTEZERS-ABADANA 132:45
POCIEMS-MARTINIKA 51:45
KANGARI-KRUSTPILS 46:119
KUNLUNS-STOKHOLMA 131:46
BALTEZERS-KANTONA 145:46
TAURUPE-BALTEZERS 46:87
LAUTERE-VENTSPILS 47:53
SAMAVS-ZEMMERINGS 47:59
SUMATRA-SALASPILS 47:72
BALTEZERS-LIELUPE 74:47
BALTEZERS-ZENTENE 74:47
SKAGERAKS-TAMPERE 135:48
SUMATRA-MARIANNAS 48:144
PEREKOPS-MINESOTA 76:48
MARIANNAS-VARDURA 83:48
PUMPENI-BALTEZERS 49:107
SKAGERAKS-VETERNS 49:108
IZMAIRA-SALASPILS 49:131
KANBERA-VENTSPILS 49:149
HAVANNA-BALTEZERS 49:85
VENTSPILS-HONIARA 86:49
PEREKOPS-SIRDARJA 11:5
PEREKOPS-OKSFORDA 126:5
BALTEZERS-BOSTONA 143:5
POCIEMS-KILKENIJA 62:5
POCIEMS-BORNHOLMA 89:5
BALTEZERS-SALIENA 89:5
VENTSPILS-LAUDERI 93:5
SALASPILS-TOSMARE 118:50
BALTEZERS-BENGAZI 123:50
FLANDRIJA-KUNLUNS 50:150
CIECERE-MARIANNAS 50:75
MELBURNA-PEREKOPS 50:96
KUNLUNS-TAGANROGA 96:50
MASTIS-KARAKORUMS 51:113
KALVARIJA-VETERNS 51:114
VERDENA-BALTEZERS 51:61
PELTES-KARAKORUMS 51:63
BOSFORS-BALTEZERS 52:140
VENTSPILS-TOSMARE 71:52
BALTEZERS-RANGUNA 76:52
NIAGARA-SALASPILS 53:120
KANGARI-SKAGERAKS 53:70
BALTEZERS-SALVANA 73:53
SARAGOSA-PEREKOPS 54:84
CIECERE-VENTSPILS 55:129
KRUSTPILS-LAUDERI 67:55
HOPJORA-VENTSPILS 55:69
LABANOVA-BALATONS 56:109
BALTEZERS-LUCERNA 118:56
BALTEZERS-LOKARNA 125:56
MADEIRA-VENTSPILS 56:126
BALTEZERS-MAIKOPA 137:56
KRUSTPILS-KUNLUNS 56:66
USTRONE-BALTEZERS 56:81
VARDURA-KRUSTPILS 57:142
KUNLUNS-MARIANNAS 57:63
SLOCENE-BALTEZERS 57:76
KANBERA-BALTEZERS 57:92
VERAKRUSA-VETERNS 58:119
KALVENE-BALTEZERS 58:96
ALTAJS-ZEMMERINGS 58:99
GARONNA-BALTEZERS 59:70
KOSTARIKA-VETERNS 6:102
VENTSPILS-NIAGARA 105:6
SAMAVS-KARAKORUMS 6:32
SALASPILS-VARDURA 46:6
ALEKSOTA-PEREKOPS 6:84
SALASPILS-HONIARA 93:6
SKAGERAKS-LAUTERE 104:61
OLIMPS-ZEMMERINGS 61:118
PLATONE-BALTEZERS 61:88
INSBURGA-PEREKOPS 62:87
MAKENZI-BALTEZERS 63:126
KRUSTPILS-KANBERA 149:63
MARIANNAS-KATVARI 70:63
ZEMMERINGS-KANNAS 104:64
PEREKOPS-DINKERSA 150:64
FLANDRIJA-POCIEMS 64:76
HAIFONA-BALTEZERS 64:77
HONDURASA-KUNLUNS 64:92
DENVERA-KRUSTPILS 65:123
BALATONS-DENKERKA 67:65
TOSMARE-MARIANNAS 65:70
INESIS-ZEMMERINGS 66:86
BALATONS-EKVADORA 98:66
KUNLUNS-KALVARIJA 121:68
VETERNS-STOKHOLMA 141:68
BALTEZERS-LAUTERE 95:68
OGLAINE-BALTEZERS 69:127
IZMAIRA-KRUSTPILS 69:133
KONAKRI-SALASPILS 69:139
MBABANE-BALTEZERS 69:148
POCIEMS-VIKTORIJA 31:7
ZEMMERINGS-SEVANS 39:7
ZEMMERINGS-MASTIS 82:7
TERNOPOLE-POCIEMS 7:98
BALTEZERS-HOPJORA 111:70
LAUDERI-SKAGERAKS 70:111
TIRASPOLE-VETERNS 70:128
KUNLUNS-BORNHOLMA 82:70
PALERMO-BALTEZERS 70:93
TAIMIRA-VENTSPILS 71:137
KANGARI-SALASPILS 71:94
BALTEZERS-MADEIRA 112:73
BALTEZERS-KALTENE 124:73
MARIANNAS-HOPJORA 91:73
ALTAJS-KARAKORUMS 74:108
BALTEZERS-HERSONA 126:74
DURBANA-BALTEZERS 74:77
BOSFORS-VENTSPILS 74:90
VAIVARI-KRUSTPILS 75:84
BALTEZERS-DUBLINA 146:76
BALTEZERS-TRAPENE 97:76
CIECERE-SALASPILS 77:100
PEREKOPS-AMUDARJA 83:77
BALATONS-SIESARTE 87:78
PILTENE-BALTEZERS 79:119
BALTEZERS-TALLINA 148:79
KARTENA-BALTEZERS 8:112
NOVGORODA-KUNLUNS 8:132
BALTEZERS-VETERNS 140:8
BALTEZERS-RAUDONE 15:8
DENVERA-BALTEZERS 8:48
KALABRIJA-KUNLUNS 80:107
NOVGORODA-VETERNS 80:120
ABAKANA-BALTEZERS 81:122
KALVARIJA-POCIEMS 81:137
BALATONS-OKSFORDA 139:81
BALTEZERS-PASIENA 142:81
DAIVANA-BALTEZERS 81:144
LAUDERI-MARIANNAS 84:111
SEVANS-KARAKORUMS 84:136
KRUSTPILS-TAMPERE 115:85
POCIEMS-SKAGERAKS 108:87
PEREKOPS-DENKERKA 110:87
VETERNS-ZVIEDRIJA 117:87
POCIEMS-NOVGORODA 139:87
VETERNS-KRUSTPILS 100:88
BALATONS-AMUDARJA 123:88
BALTEZERS-HARBINA 93:88
JURBARKA-PEREKOPS 89:105
POCIEMS-VERAKRUSA 107:89
TAURUPE-MARIANNAS 89:111
PEREKOPS-BALATONS 89:93
KAMPIS-KARAKORUMS 9:10
SKAGERAKS-KATVARI 102:9
MARIANNAS-MIASURA 19:9
JURBARKA-BALATONS 90:136
LAUDERI-BALTEZERS 90:143
MARIANNAS-KANBERA 141:91
LIELUPE-MARIANNAS 91:146
VETERNS-MARIANNAS 91:73
ZEMMERINGS-PELTES 114:92
BREDFORDA-POCIEMS 93:100
MARIANNAS-BOSFORS 109:93
KRUSTPILS-BENDERI 118:94
BALTEZERS-TAMPERE 107:95
CIECERE-KRUSTPILS 95:143
TERNOPOLE-KUNLUNS 96:123
KUNLUNS-VENTSPILS 111:97
ALUKSNE-BALTEZERS 97:135
BALTEZERS-SUMATRA 141:97
PORTORIKO-KUNLUNS 97:99
INVERNESA-PEREKOPS 129:0
SARAGOSA-TERNOPOLE 46:0
SARAGOSA-SKAGERAKS 91:0
HONDURASA-INSBURGA 31:1
BOSFORS-PELOPONESA 1:48
SARAGOSA-INVERNESA 10:116
SENTLORENSA-INESIS 103:100
INVERNESA-AVINJONA 146:103
BOSFORS-PORTPRENSA 103:150
KALABRIJA-SARAGOSA 104:116
KANGARI-PELOPONESA 104:122
INVERNESA-VERMONTA 145:104
RIODEORO-INVERNESA 107:109
MALJORKA-INVERNESA 108:111
TAURUPE-PELOPONESA 108:115
MASTIS-PORTOPRENSA 108:141
INVERNESA-KEMEROVA 13:11
MELARS-MINEAPOLISA 11:17
TAMMERFORSA-SEVANS 75:11
INVERNESA-KAZDANGA 122:111
STOMBOLI-INVERNESA 116:141
INVERNESA-EKVADORA 145:117
TAMMERFORSA-OLIMPS 122:121
INVERNESA-TURMANTA 128:124
LAUDERI-PELOPONESA 125:141
HONDURASA-MALJORKA 134:127
PELOPONESA-KATVARI 119:13
INVERNESA-BANDUNGA 144:130
KAMPIS-TAMMERFORSA 131:148
SARAGOSA-KOSTARIKA 148:132
INVERNESA-OKSFORDA 150:132
TAMMERFORSA-PAMIRS 46:14
PELOPONESA-VAIVARI 78:14
OLSTERA-PELOPONESA 15:141
SENTLORENSA-KANNAS 37:15
VENERS-TAMMERFORSA 15:56
SEVANS-MINEAPOLISA 16:110
NOVGORODA-SARAGOSA 16:119
PORTOPRENSA-PELTES 127:16
TAMMERFORSA-SAMAVS 128:16
HAMBURGA-HONDURASA 16:135
SENTLORENSA-PAMIRS 39:17
KAMPIS-PORTOPRENSA 17:41
INVERNESA-HONKONGA 118:18
INESIS-PORTOPRENSA 18:25
SAMAVS-PORTOPRENSA 18:86
SALDUS-TAMMERFORSA 19:59
JANOPOLE-INVERNESA 2:30
MASTIS-TAMMERFORSA 2:96
BENDERI-PELOPONESA 20:144
INVERNESA-KRETINGA 22:20
LABANOVA-INVERNESA 20:85
PRETORIJA-SARAGOSA 21:138
ATLASS-PORTOPRENSA 21:26
MELARS-TAMMERFORSA 22:106
INVERNESA-KROIDONA 70:23
MELNUPE-PELOPONESA 23:74
SARAGOSA-HONDURASA 103:24
MERGUPE-PELOPONESA 26:44
DENVERA-PELOPONESA 26:45
PELOPONESA-MADEIRA 61:26
KZILORDA-HONDURASA 27:128
KZILORDA-INVERNESA 27:45
SAMAVS-MINEAPOLISA 27:55
PORTPRENSA-KATVARI 76:27
INVERNESA-ALEKSOTA 81:28
SENTLORENSA-KAMPIS 135:29
VEZUVS-PORTOPRENSA 29:146
ELTONS-TAMMERFORSA 29:63
SARAGOSA-TAGANROGA 81:29
SENTLORENSA-ALTAJS 108:3
MASTIS-MINEAPOLISA 3:148
BELGORODA-SARAGOSA 3:60
PORTOPRENSA-MELARS 110:30
INVERNESA-BRAITONA 123:30
GABORONE-INVERNESA 30:140
AMUDARJA-HONDURASA 30:140
PELTES-TAMMERFORSA 31:117
INVERNESA-BANGKOKA 44:32
INVERNESA-GALIPOLE 62:32
PALEMONA-INVERNESA 32:78
LISABONA-INVERNESA 33:105
SENTLORENSA-SEVANS 59:33
INVERNESA-LITLROKA 44:35
KAMPIS-MINEAPOLISA 36:127
MINEAPOLISA-ATLASS 136:37
ALTAJS-MINEAPOLISA 38:133
REINJORA-INVERNESA 38:40
INVERNESA-DENKERKA 93:38
INVERNESA-GLAZGOVA 56:39
ALTAJS-PORTOPRENSA 4:11
KANNAS-MINEAPOLISA 4:139
INVERNESA-LOTRINGA 91:4
INVERNESA-HAMBURGA 124:40
PELOPONESA-MAIKOPA 128:41
TAMMERFORSA-KANNAS 133:41
PELOPONESA-KONAKRI 143:41
OKLAHOMA-INVERNESA 42:129
FLANDRIJA-SARAGOSA 42:147
JURBARKA-HONDURASA 43:134
TAMMERFORSA-VEZUVS 105:44
PAMIRS-MINEAPOLISA 44:107
SALDUS-MINEAPOLISA 44:96
PORTOPRENSA-ELTONS 107:45
SARAGOSA-SALASPILS 60:47
PORTOPRENSA-PAMIRS 77:47
TAMMERFORSA-ATLASS 104:48
SIESARTE-HONDURASA 48:139
HONDURASA-OKSFORDA 78:48
HONDURASA-MELBURNA 76:49
SENTLORENSA-SALDUS 111:5
RADOPOLE-INVERNESA 5:144
PORTORIKO-SARAGOSA 5:41
SENTLORENSA-MASTIS 66:5
SALDUS-PORTOPRENSA 50:107
LIELUPE-PELOPONESA 51:114
NIKOPOLE-INVERNESA 51:115
VENERS-PORTOPRENSA 51:90
PELOPONESA-IZMAIRA 97:51
SORBONNA-INVERNESA 52:106
CIECERE-PELOPONESA 52:53
VERAKRUSA-SARAGOSA 53:113
PORTPRENSA-BENDERI 138:53
DINKERSA-INVERNESA 55:121
INVERNESA-SIRDARJA 60:55
HONDURASA-DINKERSA 84:55
SENTLORENSA-ELTONS 131:57
INVERNESA-BELMANTA 135:57
PORTOPRENSA-OLIMPS 80:58
KONAKRI-PORTPRENSA 59:109
SENTLORENSA-VEZUVS 68:59
PELOPONESA-NIAGARA 52:6
SENTLORENSA-OLIMPS 146:60
MELARS-SENTLORENSA 62:148
INVERNESA-BABRUNGA 67:62
ATLASS-SENTLORENSA 62:84
SARAGOSA-KALVARIJA 67:65
ZVIEDRIJA-SARAGOSA 65:79
SIRDARJA-HONDURASA 66:115
KOSTROMA-INVERNESA 66:147
TAMPERE-PELOPONESA 67:80
VENERS-MINEAPOLISA 68:133
INVERNESA-AMUDARJA 99:69
SAMAVS-SENTLORENSA 7:42
PELOPONESA-VARDURA 50:7
BRISTOLE-INVERNESA 70:149
INVERNESA-SKIEMONE 98:70
KRUSTPILS-SARAGOSA 71:81
LAUDERI-PORTPRENSA 71:93
INVERNESA-MELBURNA 132:73
HONDURASA-DENKERKA 103:74
JOKOHOMA-INVERNESA 74:143
PORTOPRENSA-KANNAS 118:75
TOSMARE-PELOPONESA 75:123
MINEAPOLISA-OLIMPS 124:77
INVERNESA-JURBARKA 87:77
ANADIRA-PELOPONESA 78:129
TAIMIRA-PELOPONESA 79:80
INVERNESA-SIESARTE 58:8
SARAGOSA-TIRASPOLE 117:82
PELOPONESA-KANBERA 132:82
MINEAPOLISA-INESIS 100:83
MINEAPOLISA-PELTES 130:83
PELOPONESA-SUMATRA 85:83
ALTAJS-TAMMERFORSA 85:112
VEZUVS-MINEAPOLISA 85:94
INVERNESA-MINESOTA 124:86
PORTPRENSA-VAIVARI 146:86
TAMMERFORSA-INESIS 101:87
SENTLORENSA-PELTES 142:88
INVERNESA-INSBURGA 147:88
VENTSPILS-SARAGOSA 89:136
KANGARI-PORTPRENSA 9:57
INVERNESA-HELSINKI 93:9
VIKTORIJA-SARAGOSA 90:111
ELTONS-MINEAPOLISA 90:137
INVERNESA-KORNVOLA 103:91
INVERNESA-BALATONS 133:91
PELOPONESA-LAUTERE 102:92
VENERS-SENTLORENSA 93:102
PELOPONESA-HOPJORA 112:93
PELOPONESA-MIASURA 113:93
DINKERSA-VERAKRUSA 119:93
PELOPONESA-HONIARA 125:96
PORTOPRENSA-SEVANS 134:96
MANITOBA-INVERNESA 97:150
INVERNESA-FERMENTA 144:99
NOVOMOSKOVSKA-LISABONA 53:144
LISABONA-DIMITROVGRADA 112:97
VERAKRUSA-HAMBERSAIDA 10:88
PORTMORSBI-MELBURNA 149:122
KZILORDA-PORTMORSBI 19:138
ALEKSOTA-PORTMORSBI 21:63
AMUDARJA-PORTMORSBI 23:29
PORTMORSBI-SARAGOSA 61:29
DENKERKA-PORTMORSBI 32:93
OKSFORDA-PORTMORSBI 42:85
MINESOTA-PORTMORSBI 43:55
PORTMORSBI-GLAZGOVA 104:46
PORTMORSBI-LABANOVA 92:55
PORTMORSBI-MALJORKA 139:57
JURBARKA-PORTMORSBI 61:64
PORTMORSBI-SIESARTE 102:62
PORTMORSBI-INSBURGA 80:69
PORTMORSBI-DINKERSA 149:81
HAMBURGA-PORTMORSBI 82:145
SIRDARJA-PORTMORSBI 90:124
KEMEROVA-PORTMORSBI 96:99
DENKERKA-JOHANNESBURGA 101:108
PEREKOPS-JOHANNESBURGA 102:112
JOHANNESBURGA-SIESARTE 54:11
JOHANNESBURGA-NIKOPOLE 122:111
JOHANNESBURGA-MANITOBA 136:113
STOMBOLI-JOHANNESBURGA 117:125
JOHANNESBURGA-SORBONNA 128:117
KAZDANGA-JOHANNESBURGA 12:110
JOHANNESBURGA-LITLROKA 141:13
GALIPOLE-JOHANNESBURGA 14:84
JOHANNESBURGA-OKLAHOMA 40:16
GLAZGOVA-JOHANNESBURGA 17:40
JANOPOLE-JOHANNESBURGA 17:76
REINJORA-JOHANNESBURGA 17:77
JOHANNESBURGA-JURBARKA 111:18
JOHANNESBURGA-BANGKOKA 72:2
JOHANNESBURGA-KORNVOLA 136:20
SARAGOSA-JOHANNESBURGA 21:54
SIRDARJA-JOHANNESBURGA 22:104
JOHANNESBURGA-AMUDARJA 50:25
JOHANNESBURGA-GABORONE 76:26
LOTRINGA-JOHANNESBURGA 26:78
JOHANNESBURGA-MALJORKA 51:28
KOSTROMA-JOHANNESBURGA 29:50
JOHANNESBURGA-ALEKSOTA 71:29
TURMANTA-JOHANNESBURGA 33:52
BRISTOLE-JOHANNESBURGA 33:74
JOHANNESBURGA-INSBURGA 126:34
HAMBURGA-JOHANNESBURGA 35:70
SKIEMONE-JOHANNESBURGA 37:53
LISABONA-JOHANNESBURGA 37:85
BANDUNGA-JOHANNESBURGA 38:107
JOHANNESBURGA-DINKERSA 76:38
KEMEROVA-JOHANNESBURGA 41:150
JOHANNESBURGA-MINESOTA 95:42
JOHANNESBURGA-EKVADORA 135:45
FERMENTA-JOHANNESBURGA 52:127
KZILORDA-JOHANNESBURGA 56:119
OKSFORDA-JOHANNESBURGA 58:132
BELMANTA-JOHANNESBURGA 58:139
DIMITROVGRADA-INSBURGA 6:142
JOHANNESBURGA-BRAITONA 15:7
JOHANNESBURGA-HELSINKI 24:7
JOHANNESBURGA-PALEMONA 95:71
RIODEORO-JOHANNESBURGA 74:149
JOHANNESBURGA-BALATONS 117:77
HONKONGA-JOHANNESBURGA 77:126
JOHANNESBURGA-AVINJONA 142:78
JOHANNESBURGA-RADOPOLE 100:80
JOKOHOMA-JOHANNESBURGA 80:89
JOHANNESBURGA-BABRUNGA 110:81
JOHANNESBURGA-MELBURNA 142:81
JOHANNESBURGA-KRETINGA 101:83
KROIDONA-JOHANNESBURGA 86:99
LABANOVA-JOHANNESBURGA 90:142
JOHANNESBURGA-VERMONTA 116:93
KRASNOVODSKA-MEISENE 114:128
KRASNOKAMSKA-MEISENE 125:129
KRASNOJARSKA-MEISENE 15:95
MEISENE-STARAPLANINA 103:44
MEISENE-KENTERBERIJA 105:56
MEISENE-MONTGOMERIJA 132:58
MEISENE-NAROFOMINSKA 103:76
BALTKRIEVIJA-MEISENE 78:115
VERAKRUSA-BANDARSERIBEGAVA 3:10
OKSFORDA-DIMITROVGRADA 134:40
NOVOMOSKOVSKA-PASIENA 21:145
DIMITROVGRADA-PASIENA 52:65
PASIENA-JOHANNESBURGA 85:56
PASIENA-OKLAKOMSITIJA 71:64
VISKONSINA-STOKHOLMA 136:0
TIRASPOLE-VISKONSINA 1:101
BELGORODA-VISKONSINA 11:136
SALASPILS-VISKONSINA 116:130
VISKONSINA-BREDFORDA 25:13
VISKONSINA-TAGANROGA 89:15
PRETORIJA-VISKONSINA 17:147
VISKONSINA-BORNHOLMA 85:2
TERNOPOLE-VISKONSINA 24:139
VENTSPILS-VISKONSINA 28:109
VISKONSINA-KALABRIJA 65:30
VISKONSINA-VIKTORIJA 70:32
HONDURASA-VISKONSINA 33:76
VISKONSINA-FLANDRIJA 139:37
VISKONSINA-NOVGORODA 122:38
VISKONSINA-SKAGERAKS 136:4
VISKONSINA-KOSTARIKA 143:61
VISKONSINA-KRUSTPILS 86:62
VISKONSINA-VERAKRUSA 81:63
PORTORIKO-VISKONSINA 69:71
VISKONSINA-KALVARIJA 141:75
MURMANSKA-VISKONSINA 84:112
VISKONSINA-ZVIEDRIJA 118:99
KRASNOVODSKA-KENSINGTONA 101:109
KRASNOJARSKA-KENSINGTONA 2:123
KENSINGTONA-KENTERBERIJA 137:28
KENSINGTONA-MONTGOMERIJA 124:33
KENSINGTONA-BALTKRIEVIJA 61:41
NAROFOMINSKA-KENSINGTONA 45:58
STARAPLANINA-KENSINGTONA 61:78
KRASNOKAMSKA-KENSINGTONA 62:146
KRASNOVODSKA-HELSINKI 101:143
HELSINKI-KENTERBERIJA 145:107
NAROFOMINSKA-HELSINKI 107:148
KRASNOJARSKA-HELSINKI 30:132
HELSINKI-KRASNOKAMSKA 148:38
MONTGOMERIJA-HELSINKI 43:111
HELSINKI-STARAPLANINA 88:7
HELSINKI-BALTKRIEVIJA 115:93
OKLAKOMSITIJA-SIRDARJA 128:104
OKLAKOMSITIJA-EKVADORA 134:108
INSBURGA-OKLAKOMSITIJA 110:124
GLAZGOVA-OKLAKOMSITIJA 136:144
BRAITONA-OKLAKOMSITIJA 19:131
OKLAKOMSITIJA-LABANOVA 87:2
KZILORDA-OKLAKOMSITIJA 20:95
SARAGOSA-OKLAKOMSITIJA 24:83
GABORONE-OKLAKOMSITIJA 26:134
RIODEORO-OKLAKOMSITIJA 28:95
BALATONS-OKLAKOMSITIJA 32:57
OKLAKOMSITIJA-MALJORKA 53:38
OKLAKOMSITIJA-MINESOTA 56:38
OKLAKOMSITIJA-ALEKSOTA 110:41
OKLAKOMSITIJA-REINJORA 117:49
OKLAKOMSITIJA-HAMBURGA 59:5
OKLAKOMSITIJA-DINKERSA 80:51
OKLAKOMSITIJA-KROIDONA 69:54
OKLAKOMSITIJA-JURBARKA 150:6
OKLAKOMSITIJA-KEMEROVA 120:60
AMUDARJA-OKLAKOMSITIJA 60:129
OKLAKOMSITIJA-LISABONA 80:63
OKLAKOMSITIJA-PEREKOPS 89:64
OKSFORDA-OKLAKOMSITIJA 7:93
AVINJONA-OKLAKOMSITIJA 79:126
PALEMONA-OKLAKOMSITIJA 8:23
SKIEMONE-OKLAKOMSITIJA 81:116
