299
SALVANA-TENESIJA 0:102
BALTIMORA-SVERDLOVSKA 86:135
KRAMAMTORSKA-KAMPALA 110:57
LONDONDERIJA-KAMPALA 150:0
RIETUMINDIJA-KAMPALA 20:3
SANSALVADORA-KAMPALA 48:66
BABELMANDEBA-KAMPALA 78:88
VESTMINSTERA-LEIPCIGA 36:73
SANSALVADORA-LEIPCIGA 50:86
RIETUMINDIJA-LEIPCIGA 52:1
BABELMANDEBA-LEIPCIGA 59:136
LONDONDERIJA-LEIPCIGA 60:47
KRAMAMTORSKA-LEIPCIGA 61:9
MINDANAO-GVADELUPE 123:5
VIETALVA-GVADELUPE 124:5
KATMANDU-GVADELUPE 14:44
GOTLANDE-GVADELUPE 21:13
VESTENDE-GVADELUPE 30:95
DOTMUNDA-GVADELUPE 38:119
VALGUNDE-GVADELUPE 56:38
JITLANDE-GVADELUPE 57:143
FLORENCE-GVADELUPE 68:34
HANTIMANSIJSKA-UPESCIEMS 16:119
NORTAMBERLENDA-UPESCIEMS 85:105
MALAIZIJA-MISISIPI 0:11
GVATEMALA-MISISIPI 1:30
GVADELUPE-MISISIPI 100:62
BALTEZERS-MISISIPI 101:66
CINCINATI-MISISIPI 109:59
GVAJAKILA-MISISIPI 112:8
KENTUKIJA-MISISIPI 115:82
BOBRUJSKA-MISISIPI 12:136
MONGOLIJA-MISISIPI 121:123
NUKUALOFA-MISISIPI 123:138
CARNIKAVA-MISISIPI 125:46
BALTIMORA-MISISIPI 126:146
KARMELITI-MISISIPI 129:122
KOLGUJEVA-MISISIPI 129:72
USURIJSKA-MISISIPI 131:41
BARSELONA-MISISIPI 133:109
ARKANZASA-MISISIPI 142:58
TJANDZINA-MISISIPI 144:15
FUDZIJAMA-MISISIPI 15:56
MAZSALACA-MISISIPI 16:71
SLOVAKIJA-MISISIPI 17:144
KIZILKUMS-MISISIPI 28:0
PORTSMUTA-MISISIPI 43:59
VECRIKAVA-MISISIPI 43:67
VECBILSKA-MISISIPI 44:62
MIROSLAVA-MISISIPI 5:71
GAIGALAVA-MISISIPI 52:13
KUDIMKARA-MISISIPI 54:29
UGUNSZEME-MISISIPI 62:132
ASUNSJONA-MISISIPI 83:50
KUSTANAJA-MISISIPI 89:61
STABULNIEKI-JAUNPIEBALGA 1:74
LONGAILENDA-JAUNPIEBALGA 132:19
VIRTENBERGA-JAUNPIEBALGA 133:18
HEIDELBERGA-JAUNPIEBALGA 135:123
OREHOZUJEVA-JAUNPIEBALGA 16:114
LIELVIRCAVA-JAUNPIEBALGA 19:94
TAKLAMAKANS-JAUNPIEBALGA 23:37
ARTJOMONSKA-JAUNPIEBALGA 42:68
SVERDLOVSKA-JAUNPIEBALGA 49:10
MARIENBURGA-JAUNPIEBALGA 5:37
VALGALCIEMS-JAUNPIEBALGA 54:99
DRUSKININKI-JAUNPIEBALGA 72:145
LUKSEMBURGA-JAUNPIEBALGA 80:109
TEGUSIGALPA-JAUNPIEBALGA 84:58
LIELPLATONE-JAUNPIEBALGA 84:97
NAUJAMIESTE-JAUNPIEBALGA 85:119
RIETUMSOMOA-JAUNPIEBALGA 9:123
KOLGUJEVA-MISISIPIJA 1:107
MARIENBURGA-ETIOPIJA 100:46
MALAIZIJA-MISISIPIJA 101:23
OREHOZUJEVA-ETIOPIJA 101:80
BARSELONA-MISISIPIJA 103:114
ASUNSJONA-MISISIPIJA 106:109
PORTSMUTA-MISISIPIJA 118:105
SLOVAKIJA-MISISIPIJA 120:66
RIETUMSOMOA-ETIOPIJA 125:40
KUSTANAJA-MISISIPIJA 128:146
TAKLAMAKANS-ETIOPIJA 129:127
KUDIMKARA-MISISIPIJA 13:114
BALTIMORA-MISISIPIJA 132:0
USURIJSKA-MISISIPIJA 133:137
VIRTENBERGA-ETIOPIJA 133:147
STABULNIEKI-ETIOPIJA 137:136
LIELVIRCAVA-ETIOPIJA 137:30
UGUNSZEME-MISISIPIJA 138:130
VECRIKAVA-MISISIPIJA 138:21
NUKUALOFA-MISISIPIJA 139:29
LUKSEMBURGA-ETIOPIJA 141:104
VALGALCIEMS-ETIOPIJA 143:68
MIROSLAVA-MISISIPIJA 15:4
HEIDELBERGA-ETIOPIJA 26:105
GVATEMALA-MISISIPIJA 31:3
TJANDZINA-MISISIPIJA 33:118
KARMELITI-MISISIPIJA 36:108
GVAJAKILA-MISISIPIJA 41:107
VECBILSKA-MISISIPIJA 41:18
SVERDLOVSKA-ETIOPIJA 43:150
GVADELUPE-MISISIPIJA 46:107
CARNIKAVA-MISISIPIJA 51:99
KIZILKUMS-MISISIPIJA 56:60
ARTJOMONSKA-ETIOPIJA 57:44
LONGAILENDA-ETIOPIJA 58:125
CINCINATI-MISISIPIJA 58:63
DRUSKININKI-ETIOPIJA 60:49
ARKANZASA-MISISIPIJA 64:142
LIELPLATONE-ETIOPIJA 64:32
BALTEZERS-MISISIPIJA 77:103
GAIGALAVA-MISISIPIJA 82:127
KENTUKIJA-MISISIPIJA 86:101
FUDZIJAMA-MISISIPIJA 91:77
BOBRUJSKA-MISISIPIJA 94:56
MONGOLIJA-MISISIPIJA 95:89
NAUJAMIESTE-ETIOPIJA 96:91
MAZSALACA-MISISIPIJA 98:28
MARIENBURGA-JAUNPILS 101:27
ARTJOMONSKA-JAUNPILS 101:39
NAUJAMIESTE-JAUNPILS 101:69
OREHOZUJEVA-JAUNPILS 105:95
VALGALCIEMS-JAUNPILS 109:36
DRUSKININKI-JAUNPILS 111:95
LUKSEMBURGA-JAUNPILS 112:55
STABULNIEKI-JAUNPILS 113:79
VIRTENBERGA-JAUNPILS 120:142
LIELVIRCAVA-JAUNPILS 47:42
LIELPLATONE-JAUNPILS 56:27
SVERDLOVSKA-JAUNPILS 73:86
HEIDELBERGA-JAUNPILS 75:87
TAKLAMAKANS-JAUNPILS 95:89
RIETUMSOMOA-JAUNPILS 99:60
SVERDLOVSKA-LIELPLATONE 109:73
VIRTENBERGA-LIELPLATONE 117:36
NAUJAMIESTE-LIELPLATONE 119:126
RIETUMSOMOA-LIELPLATONE 14:86
LUKSEMBURGA-LIELPLATONE 15:110
MARIENBURGA-LIELPLATONE 17:108
TAKLAMAKANS-LIELPLATONE 20:95
STABULNIEKI-LIELPLATONE 34:124
VALGALCIEMS-LIELPLATONE 36:143
ARTJOMONSKA-LIELPLATONE 36:82
HEIDELBERGA-LIELPLATONE 59:56
OREHOZUJEVA-LIELPLATONE 96:124
SANSALVADORA-NEAPOLE 128:68
PORTSMUTA-MARIAMPOLE 137:135
BABELMANDEBA-TRIPOLE 144:101
KUSTANAJA-MARIAMPOLE 24:46
KRAMAMTORSKA-NEAPOLE 3:16
LONDONDERIJA-NEAPOLE 33:76
RIETUMINDIJA-NEAPOLE 44:122
LONDONDERIJA-TRIPOLE 61:107
SANSALVADORA-TRIPOLE 71:9
KRAMAMTORSKA-TRIPOLE 72:82
CINCINATI-MARIAMPOLE 8:75
RIETUMINDIJA-TRIPOLE 81:100
BABELMANDEBA-NEAPOLE 93:21
PETROZAVODSKA-KAPSUKA 33:124
ARKANZASITIJA-KAPSUKA 83:11
KATMANDU-ANTALIEPTE 100:141
BAHREINA-ANTALIEPTE 106:126
IGNALINA-ANTALIEPTE 106:138
VIETALVA-ANTALIEPTE 106:96
BRUKLINA-ANTALIEPTE 107:25
FLORENCE-ANTALIEPTE 107:72
VALGUNDE-ANTALIEPTE 109:78
PLOVDIVA-ANTALIEPTE 110:77
DOMINIKA-ANTALIEPTE 112:48
ARMAVIRA-ANTALIEPTE 113:111
ILINOISA-ANTALIEPTE 114:103
TENERIFE-ANTALIEPTE 120:3
JAUNPILS-ANTALIEPTE 122:111
HIROSIMA-ANTALIEPTE 125:135
ROZALIMA-ANTALIEPTE 131:111
AIZVOLGA-ANTALIEPTE 131:13
MISISIPI-ANTALIEPTE 138:26
GROZNIJA-ANTALIEPTE 139:113
BAIREITA-ANTALIEPTE 139:17
BRAZILJA-ANTALIEPTE 139:64
OZOLAINE-ANTALIEPTE 140:94
JAKUTIJA-ANTALIEPTE 141:101
GARKALNE-ANTALIEPTE 143:100
AUSTRIJA-ANTALIEPTE 145:45
MELNSILS-ANTALIEPTE 147:149
KRIEVIJA-ANTALIEPTE 20:141
NIKOSINA-ANTALIEPTE 27:43
LUISVILA-ANTALIEPTE 27:91
VESTENDE-ANTALIEPTE 32:149
UDMRTIJA-ANTALIEPTE 33:84
TENESIJA-ANTALIEPTE 36:105
TUNISIJA-ANTALIEPTE 36:64
UZBEKIJA-ANTALIEPTE 39:127
KARLAILA-ANTALIEPTE 40:21
SALONIKI-ANTALIEPTE 43:126
JITLANDE-ANTALIEPTE 5:65
RUDAMINA-ANTALIEPTE 50:19
BRRONKSA-ANTALIEPTE 50:74
LEIPCIGA-ANTALIEPTE 53:100
MINDANAO-ANTALIEPTE 53:5
SAULAINE-ANTALIEPTE 59:81
DOTMUNDA-ANTALIEPTE 60:110
MAUNALOA-ANTALIEPTE 63:148
ETIOPIJA-ANTALIEPTE 63:31
FRANCIJA-ANTALIEPTE 63:71
IGAUNIJA-ANTALIEPTE 64:27
PIEVOLGA-ANTALIEPTE 7:107
KRIMULDA-ANTALIEPTE 75:56
MANHEIMA-ANTALIEPTE 85:113
DETROITA-ANTALIEPTE 9:140
GOTLANDE-ANTALIEPTE 91:68
BEREZINA-ANTALIEPTE 91:78
TELAVIVA-ANTALIEPTE 97:138
GOTLANDE-BALTIMORA 0:136
FUDZIJAMA-ARMAVIRA 0:35
BOSTONA-VLADIMMIRA 0:68
PORTSMUTA-ARMAVIRA 1:8
TJANDZINA-ARMAVIRA 10:6
GVATEMALA-ARMAVIRA 100:109
GULBENE-VLADIMMIRA 100:24
ASUNSJONA-ARMAVIRA 101:11
RAUDONE-VLADIMMIRA 104:144
BERGENA-VLADIMMIRA 104:150
LAZDONA-VLADIMMIRA 104:49
KATMANDU-BALTIMORA 104:54
KARMELITI-ARMAVIRA 104:74
POCIEMS-VLADIMMIRA 104:76
HERSONA-VLADIMMIRA 106:97
UKRAINA-VLADIMMIRA 107:47
RANGUNA-VLADIMMIRA 11:145
USURIJSKA-ARMAVIRA 110:42
CARNIKAVA-ARMAVIRA 110:54
DUBLINA-VLADIMMIRA 110:77
TRAPENE-VLADIMMIRA 112:107
BRRONKSA-KUDIMKARA 113:142
VESTENDE-BALTIMORA 113:6
HUDZONA-VLADIMMIRA 113:74
KUDIMKARA-ARMAVIRA 113:95
PILZENE-VLADIMMIRA 114:107
LOZANNA-VLADIMMIRA 115:108
AIZVOLGA-KUDIMKARA 115:83
MALAIZIJA-ARMAVIRA 117:119
KRIMULDA-KUDIMKARA 119:74
OGLAINE-VLADIMMIRA 12:71
MINDANAO-BALTIMORA 12:76
VECRIKAVA-ARMAVIRA 12:87
JITLANDE-KUDIMKARA 122:139
GOTLANDE-KUDIMKARA 124:73
KIZILKUMS-ARMAVIRA 126:123
ARKANZASA-ARMAVIRA 126:15
DOTMUNDA-BALTIMORA 126:16
MINHENE-VLADIMMIRA 13:43
PLATONE-VLADIMMIRA 130:133
GARONNA-VLADIMMIRA 131:45
VERDENA-VLADIMMIRA 133:33
TALLINA-VLADIMMIRA 133:70
ZENTENE-VLADIMMIRA 134:122
ABADANA-VLADIMMIRA 134:17
CINCINATI-ARMAVIRA 134:30
BARSELONA-ARMAVIRA 134:5
SLOVAKIJA-ARMAVIRA 136:150
USTRONE-VLADIMMIRA 138:13
HARBINA-VLADIMMIRA 138:76
PILTENE-VLADIMMIRA 14:34
KALVENE-VLADIMMIRA 145:52
CEILONA-VLADIMMIRA 146:104
FLORENCE-KUDIMKARA 146:31
JITLANDE-BALTIMORA 146:89
VIETALVA-KUDIMKARA 147:27
KALTENE-VLADIMMIRA 148:39
BRAZILJA-KUDIMKARA 148:78
KOLGUJEVA-ARMAVIRA 150:144
ARIZONA-VLADIMMIRA 16:51
SEVERNA-VLADIMMIRA 18:120
PALERMO-VLADIMMIRA 19:17
MONGOLIJA-ARMAVIRA 20:150
VECBILSKA-ARMAVIRA 21:104
ARAGONA-VLADIMMIRA 21:121
OREGONA-VLADIMMIRA 28:143
DEMOINA-VLADIMMIRA 28:4
LONDONA-VLADIMMIRA 28:7
SALVANA-VLADIMMIRA 34:79
DURBANA-VLADIMMIRA 34:95
ABAKANA-VLADIMMIRA 37:53
NUKUALOFA-ARMAVIRA 42:92
VALGUNDE-BALTIMORA 43:136
HAIFONA-VLADIMMIRA 45:102
KATMANDU-KUDIMKARA 46:104
SLOCENE-VLADIMMIRA 48:31
MIROSLAVA-ARMAVIRA 49:107
PIEVOLGA-KUDIMKARA 5:40
EGLAINE-VLADIMMIRA 51:104
NANKINA-VLADIMMIRA 51:13
BALTIMORA-ARMAVIRA 53:137
MAZSALACA-ARMAVIRA 55:121
KUSTANAJA-ARMAVIRA 55:32
MBABANE-VLADIMMIRA 57:58
LIVORNA-VLADIMMIRA 58:117
SALIENA-VLADIMMIRA 58:18
GARKALNE-KUDIMKARA 58:29
PASIENA-VLADIMMIRA 59:60
UGUNSZEME-ARMAVIRA 6:61
BALTEZERS-ARMAVIRA 61:13
MUKDENA-VLADIMMIRA 61:91
FLORENCE-BALTIMORA 62:145
KENTUKIJA-ARMAVIRA 65:39
TAIVANA-VLADIMMIRA 66:103
RAVENNA-VLADIMMIRA 7:44
BOBRUJSKA-ARMAVIRA 7:76
DOTMUNDA-KUDIMKARA 70:145
KARTENA-VLADIMMIRA 73:113
DAIVANA-VLADIMMIRA 73:140
GVAJAKILA-ARMAVIRA 73:24
HAVANNA-VLADIMMIRA 74:45
GAIGALAVA-ARMAVIRA 77:42
LOKARNA-VLADIMMIRA 77:91
SAIGONA-VLADIMMIRA 80:40
MAUNALOA-KUDIMKARA 81:92
LUCERNA-VLADIMMIRA 84:71
KAJENNA-VLADIMMIRA 87:129
MINDANAO-KUDIMKARA 87:47
VALGUNDE-KUDIMKARA 88:7
AMAZONE-VLADIMMIRA 9:6
KANTONA-VLADIMMIRA 93:54
GVADELUPE-ARMAVIRA 95:44
MEISENE-VLADIMMIRA 99:101
VESTENDE-KUDIMKARA 99:131
LONDONDERIJA-INDRAJI 119:16
KRAMAMTORSKA-INDRAJI 136:134
BABELMANDEBA-INDRAJI 77:95
SANSALVADORA-INDRAJI 90:124
RIETUMINDIJA-INDRAJI 94:0
BABELMANDEBA-SJERALEONE 18:71
SANSALVADORA-SJERALEONE 37:62
LONDONDERIJA-SJERALEONE 45:12
RIETUMINDIJA-SJERALEONE 78:66
KRAMAMTORSKA-SJERALEONE 94:27
NORTAMBERLENDA-BRAZILJA 5:113
HANTIMANSIJSKA-BRAZILJA 95:117
NORTAMBERLENDA-FRANCIJA 129:77
HANTIMANSIJSKA-FRANCIJA 69:12
HANTIMANSIJSKA-BRATSKA 141:98
NORTAMBERLENDA-BRATSKA 44:39
ARKANZASITIJA-SERBIJA 124:58
PETROZAVODSKA-SERBIJA 26:42
MALAIZIJA-LIELVIRCAVA 107:53
MONGOLIJA-LIELVIRCAVA 109:13
KENTUKIJA-LIELVIRCAVA 11:113
FUDZIJAMA-LIELVIRCAVA 122:32
VECBILSKA-LIELVIRCAVA 125:22
GVATEMALA-LIELVIRCAVA 126:103
BOBRUJSKA-LIELVIRCAVA 129:5
MIROSLAVA-LIELVIRCAVA 141:115
UGUNSZEME-LIELVIRCAVA 148:83
KUSTANAJA-LIELVIRCAVA 19:36
KUDIMKARA-LIELVIRCAVA 20:75
USURIJSKA-LIELVIRCAVA 26:45
ARKANZASA-LIELVIRCAVA 3:5
GAIGALAVA-LIELVIRCAVA 30:88
BARSELONA-LIELVIRCAVA 31:119
KARMELITI-LIELVIRCAVA 31:64
TJANDZINA-LIELVIRCAVA 4:20
MAZSALACA-LIELVIRCAVA 42:15
BALTIMORA-LIELVIRCAVA 46:37
BALTEZERS-LIELVIRCAVA 50:105
KIZILKUMS-LIELVIRCAVA 51:74
GVAJAKILA-LIELVIRCAVA 55:84
PORTSMUTA-LIELVIRCAVA 74:27
CINCINATI-LIELVIRCAVA 79:132
SLOVAKIJA-LIELVIRCAVA 79:4
NUKUALOFA-LIELVIRCAVA 80:48
VECRIKAVA-LIELVIRCAVA 81:31
ASUNSJONA-LIELVIRCAVA 84:108
CARNIKAVA-LIELVIRCAVA 9:111
GVADELUPE-LIELVIRCAVA 91:121
KOLGUJEVA-LIELVIRCAVA 94:103
ARKANZASITIJA-TURCIJA 134:63
PETROZAVODSKA-TURCIJA 53:58
ARKANZASITIJA-KORDILJERI 115:51
PETROZAVODSKA-KORDILJERI 8:50
BABELMANDEBA-SVERDLOVSKA 106:67
KRAMAMTORSKA-SVERDLOVSKA 108:142
SANSALVADORA-SVERDLOVSKA 141:95
RIETUMINDIJA-SVERDLOVSKA 28:81
LONDONDERIJA-SVERDLOVSKA 98:121
SANSALVADORA-BAHREINA 101:119
VESTMINSTERA-BAHREINA 110:126
RIETUMINDIJA-BAHREINA 127:86
KRAMAMTORSKA-BAHREINA 139:110
BABELMANDEBA-BAHREINA 2:72
LONDONDERIJA-BAHREINA 22:14
SANSALVADORA-BAIREITA 118:74
BABELMANDEBA-BAIREITA 138:5
LONDONDERIJA-BAIREITA 20:72
KRAMAMTORSKA-BAIREITA 41:51
RIETUMINDIJA-BAIREITA 57:146
NORTAMBERLENDA-GREITLEIKI 43:130
HANTIMANSIJSKA-GREITLEIKI 82:118
PETROZAVODSKA-BEREZINA 105:95
ARKANZASITIJA-BEREZINA 32:72
LONDONDERIJA-FLORENCE 16:144
PASIENA-LUKSEMBURGA 0:94
MEISENE-MARIENBURGA 1:122
OREGONA-LUKSEMBURGA 1:31
ABADANA-HEIDELBERGA 1:53
SLOCENE-HEIDELBERGA 10:17
KURZEME-LUKSEMBURGA 10:45
TALLINA-HEIDELBERGA 10:55
MEISENE-LUKSEMBURGA 103:114
SLOCENE-MARIENBURGA 103:6
KARTENA-HEIDELBERGA 104:67
MAKENZI-LUKSEMBURGA 105:58
PILTENE-HEIDELBERGA 106:12
KANTONA-HEIDELBERGA 106:146
BENGAZI-LUKSEMBURGA 107:102
PENKULE-HEIDELBERGA 107:147
ZEMGALE-HEIDELBERGA 107:51
SALVANA-LUKSEMBURGA 11:32
HAVANNA-LUKSEMBURGA 11:5
NEAPOLE-HEIDELBERGA 110:140
PILZENE-MARIENBURGA 110:17
PALERMO-LUKSEMBURGA 111:49
CEILONA-LUKSEMBURGA 114:113
PLATONE-VIRTENBERGA 114:24
FORMOZA-HEIDELBERGA 114:30
PASIENA-HEIDELBERGA 114:6
MINHENE-HEIDELBERGA 116:24
LOZANNA-LUKSEMBURGA 116:95
SLOCENE-LUKSEMBURGA 117:102
MBABANE-HEIDELBERGA 117:15
MINHENE-MARIENBURGA 118:119
TAIVANA-HEIDELBERGA 118:48
HAIFONA-HEIDELBERGA 119:112
OGLAINE-VIRTENBERGA 119:55
VATERLO-HEIDELBERGA 12:140
GULBENE-HEIDELBERGA 12:54
MBABANE-LUKSEMBURGA 12:66
SEVERNA-LUKSEMBURGA 120:140
RAVENNA-HEIDELBERGA 120:62
ZENTENE-LUKSEMBURGA 121:24
DAIVANA-HEIDELBERGA 121:60
MEISENE-VIRTENBERGA 121:84
RAUDONE-MARIENBURGA 122:143
EGLAINE-HEIDELBERGA 124:44
PILZENE-LUKSEMBURGA 124:91
LAZDONA-LUKSEMBURGA 125:90
KALVENE-MARIENBURGA 126:3
LONDONA-HEIDELBERGA 127:146
PILTENE-VIRTENBERGA 127:52
KANTONA-LUKSEMBURGA 128:38
ABAKANA-HEIDELBERGA 128:49
BOSTONA-LUKSEMBURGA 129:141
ABAKANA-LUKSEMBURGA 129:143
ZENTENE-VIRTENBERGA 13:61
HARBINA-LUKSEMBURGA 130:119
PLATONE-MARIENBURGA 131:136
TRAPENE-LUKSEMBURGA 132:32
BRISELE-HEIDELBERGA 133:84
AMAZONE-VIRTENBERGA 134:141
TAIZEME-HEIDELBERGA 134:63
HUDZONA-LUKSEMBURGA 136:123
AMAZONE-MARIENBURGA 136:28
LONDONA-LUKSEMBURGA 136:62
DEMOINA-LUKSEMBURGA 136:87
SALVANA-HEIDELBERGA 137:135
KARTENA-LUKSEMBURGA 137:138
UKRAINA-LUKSEMBURGA 138:62
TRAPENE-MARIENBURGA 138:83
LUCERNA-LUKSEMBURGA 139:64
LOKARNA-HEIDELBERGA 144:75
GARONNA-LUKSEMBURGA 145:142
TALLINA-LUKSEMBURGA 146:33
KAPZEME-LUKSEMBURGA 146:44
BERGENA-HEIDELBERGA 148:94
OGLAINE-HEIDELBERGA 149:119
LAPZEME-LUKSEMBURGA 15:54
EGLAINE-MARIENBURGA 15:64
LIVORNA-HEIDELBERGA 150:130
BOSTONA-HEIDELBERGA 150:29
PEDEDZE-LUKSEMBURGA 150:95
AMAZONE-HEIDELBERGA 16:123
OREGONA-HEIDELBERGA 17:11
KALVENE-HEIDELBERGA 17:30
ARAGONA-LUKSEMBURGA 17:62
LIVORNA-LUKSEMBURGA 17:99
LUCERNA-HEIDELBERGA 2:56
TEBRIZA-HEIDELBERGA 2:86
GARONNA-HEIDELBERGA 2:94
USTRONE-VIRTENBERGA 20:120
DEMOINA-HEIDELBERGA 21:106
HAIFONA-LUKSEMBURGA 21:121
DURBANA-LUKSEMBURGA 21:133
NANKINA-HEIDELBERGA 21:52
VILGALE-HEIDELBERGA 22:145
PILZENE-VIRTENBERGA 23:134
KALTENE-MARIENBURGA 26:8
VIDUKLE-HEIDELBERGA 26:8
MBABANE-MARIENBURGA 27:61
SEVERNA-HEIDELBERGA 28:1
GULBENE-MARIENBURGA 28:22
RANGUNA-LUKSEMBURGA 3:122
KAPZEME-HEIDELBERGA 3:26
OGLAINE-LUKSEMBURGA 3:33
RAVENNA-LUKSEMBURGA 3:80
MAKENZI-HEIDELBERGA 30:132
MUKDENA-HEIDELBERGA 31:1
KAJENNA-LUKSEMBURGA 31:54
VERDENA-HEIDELBERGA 32:103
MINHENE-LUKSEMBURGA 32:138
SAIGONA-LUKSEMBURGA 33:2
DAIVANA-LUKSEMBURGA 33:87
TRIPOLE-HEIDELBERGA 34:119
MINHENE-VIRTENBERGA 34:27
PASVALE-HEIDELBERGA 34:51
HAVANNA-HEIDELBERGA 35:116
ZAMBEZI-LUKSEMBURGA 35:131
DUBLINA-HEIDELBERGA 36:146
DURBANA-HEIDELBERGA 36:24
CEILONA-HEIDELBERGA 36:52
ARIZONA-LUKSEMBURGA 37:128
TRAPENE-HEIDELBERGA 37:67
HERSONA-HEIDELBERGA 37:94
PLATONE-HEIDELBERGA 38:29
SALIENA-HEIDELBERGA 4:106
PEDEDZE-HEIDELBERGA 40:133
OGLAINE-MARIENBURGA 41:97
LOZANNA-HEIDELBERGA 43:126
GULBENE-VIRTENBERGA 43:138
TAIZEME-LUKSEMBURGA 43:47
ZENTENE-MARIENBURGA 45:2
VIDZEME-HEIDELBERGA 46:118
KALVENE-VIRTENBERGA 47:107
RAUDONE-VIRTENBERGA 48:16
KALVENE-LUKSEMBURGA 48:17
SAIGONA-HEIDELBERGA 48:99
EGLAINE-LUKSEMBURGA 49:105
TRAPENE-VIRTENBERGA 49:127
TOTNEMA-HEIDELBERGA 5:48
PILTENE-LUKSEMBURGA 5:50
LOKARNA-LUKSEMBURGA 50:133
BERGENA-LUKSEMBURGA 51:101
MEISENE-HEIDELBERGA 51:28
HARTUMA-HEIDELBERGA 52:147
LAZDONA-HEIDELBERGA 54:104
RAUDONE-HEIDELBERGA 54:39
PLATONE-LUKSEMBURGA 56:76
MUKDENA-LUKSEMBURGA 57:108
LAPZEME-HEIDELBERGA 61:42
PUIKULE-HEIDELBERGA 63:139
ZAMBEZI-HEIDELBERGA 63:37
ALABAMA-HEIDELBERGA 64:100
KURZEME-HEIDELBERGA 67:21
PALERMO-HEIDELBERGA 67:81
KALTENE-LUKSEMBURGA 68:16
BENGAZI-HEIDELBERGA 72:124
ZENTENE-HEIDELBERGA 72:99
RAUDONE-LUKSEMBURGA 73:106
VIDZEME-LUKSEMBURGA 75:33
HUDZONA-HEIDELBERGA 75:90
VERDENA-LUKSEMBURGA 77:1
USTRONE-HEIDELBERGA 77:142
ARAGONA-HEIDELBERGA 78:35
MBABANE-VIRTENBERGA 78:50
KALTENE-VIRTENBERGA 78:85
POCIEMS-HEIDELBERGA 79:126
MARVELE-HEIDELBERGA 79:30
AMAZONE-LUKSEMBURGA 79:34
ABADANA-LUKSEMBURGA 79:56
HERSONA-LUKSEMBURGA 79:57
KAJENNA-HEIDELBERGA 79:8
PAROGLE-HEIDELBERGA 8:0
USTRONE-MARIENBURGA 8:3
DUBLINA-LUKSEMBURGA 80:37
GULBENE-LUKSEMBURGA 81:1
HARBINA-HEIDELBERGA 81:118
TAIVANA-LUKSEMBURGA 81:91
SALIENA-LUKSEMBURGA 85:25
ARTJOMA-HEIDELBERGA 85:37
ISIKULS-HEIDELBERGA 86:15
EGLAINE-VIRTENBERGA 87:22
KALTENE-HEIDELBERGA 89:102
USTRONE-LUKSEMBURGA 89:26
NANKINA-LUKSEMBURGA 89:51
PILTENE-MARIENBURGA 9:143
TERMEZA-HEIDELBERGA 90:54
LATGALE-HEIDELBERGA 90:66
PILZENE-HEIDELBERGA 91:100
SLOCENE-VIRTENBERGA 91:115
RANGUNA-HEIDELBERGA 92:44
UKRAINA-HEIDELBERGA 94:136
ARIZONA-HEIDELBERGA 98:47
POCIEMS-LUKSEMBURGA 99:60
EGLAINE-KORDILJERI 1:21
SALVANA-KORDILJERI 10:31
KARTENA-KORDILJERI 10:52
ALABAMA-KORDILJERI 100:67
LAPZEME-KORDILJERI 101:133
TALLINA-KORDILJERI 102:48
VATERLO-KORDILJERI 103:96
PALERMO-KORDILJERI 104:46
ARIZONA-KORDILJERI 105:119
HARBINA-KORDILJERI 107:83
HAVANNA-KORDILJERI 107:83
SEVERNA-KORDILJERI 108:134
ISIKULS-KORDILJERI 109:110
DUBLINA-KORDILJERI 113:13
LUCERNA-KORDILJERI 113:70
POCIEMS-KORDILJERI 114:70
ZAMBEZI-KORDILJERI 115:142
BENGAZI-KORDILJERI 116:9
SLOCENE-KORDILJERI 12:0
CEILONA-KORDILJERI 124:61
SAIGONA-KORDILJERI 126:90
DEMOINA-KORDILJERI 133:53
GARONNA-KORDILJERI 133:67
HARTUMA-KORDILJERI 137:112
PEDEDZE-KORDILJERI 137:86
TRAPENE-KORDILJERI 138:102
GULBENE-KORDILJERI 138:29
PLATONE-KORDILJERI 14:121
TAIZEME-KORDILJERI 14:42
LOZANNA-KORDILJERI 140:118
VERDENA-KORDILJERI 144:6
SALIENA-KORDILJERI 146:71
LAZDONA-KORDILJERI 150:106
ABADANA-KORDILJERI 150:147
KALVENE-KORDILJERI 150:90
MUKDENA-KORDILJERI 17:141
BERGENA-KORDILJERI 2:110
HERSONA-KORDILJERI 22:1
OGLAINE-KORDILJERI 22:38
DAIVANA-KORDILJERI 27:94
OREGONA-KORDILJERI 28:55
BOSTONA-KORDILJERI 3:4
MEISENE-KORDILJERI 31:130
USTRONE-KORDILJERI 31:30
FORMOZA-KORDILJERI 33:116
ZENTENE-KORDILJERI 33:23
ABAKANA-KORDILJERI 36:125
HAIFONA-KORDILJERI 37:105
ARTJOMA-KORDILJERI 4:19
LIVORNA-KORDILJERI 41:45
VIDZEME-KORDILJERI 45:10
KAJENNA-KORDILJERI 46:69
MAKENZI-KORDILJERI 49:15
DURBANA-KORDILJERI 54:145
NANKINA-KORDILJERI 54:40
TEBRIZA-KORDILJERI 54:48
KAPZEME-KORDILJERI 56:19
RAUDONE-KORDILJERI 57:65
PILTENE-KORDILJERI 6:65
KANTONA-KORDILJERI 60:45
KALTENE-KORDILJERI 61:33
UKRAINA-KORDILJERI 64:7
ARAGONA-KORDILJERI 66:74
RANGUNA-KORDILJERI 67:104
