100
SINSITIJA-LIZUMS 0:122
KUVEITA-VALLETA 87:26
ERFURTE-DONBASS 87:4
SALANTA-ATLANTA 87:4
KUMPOTE-MADRASA 87:63
VAGADUGU-LIZUMS 87:65
DUBULTI-UTREHTA 87:65
DONBASS-ENGELSA 87:91
TORONTO-TEKSASA 88:143
KALKUTA-KANZASA 88:40
KARPATI-ENGELSA 88:52
DUBULTI-KANZASA 88:62
BIZERTA-TAUNUSA 88:65
NEBRASKA-TUKUMS 88:96
AIZPUTE-ENGELSA 89:114
TRIESTE-KAUNATA 89:118
BIZERTA-BEBRUSI 89:129
VALLETA-SANHOSE 89:18
VALLETA-SASEKSA 89:51
KINROSA-VENERS 69:105
PLIMUTA-VEZUVS 39:106
DUBULTI-VEZUVS 49:108
TEKSASA-VEZUVS 89:117
DORSETA-ALTAJS 89:125
UTREHTA-TEKSASA 9:126
MAPUTU-SANHOSE 69:139
ALATAU-KANZASA 99:139
NUKUSU-PEIPUSS 79:14
PLIMUTA-VORKUTA 9:145
NUKUSU-KINROSA 69:145
ENGELSA-KANZASA 9:146
DUBULTI-PLIMUTA 9:148
ERFURTE-PEIPUSS 9:150
ALATAU-BEBRUSI 99:16
MANAUSA-TUKUMS 99:19
NUKUSU-KARPATI 19:27
ALATAU-PEIPUSS 89:32
TORONTO-KALKUTA 9:33
MAPUTU-DORSETA 19:39
PEIPUSS-VENERS 99:5
KUZBASS-KINROSA 9:60
TOLJATI-VENERS 49:60
PEIPUSS-LIZUMS 99:64
KUZBASS-LIZUMS 49:68
KAVARSKA-LIZUMS 9:7
MAPUTU-MANAUSA 99:7
KUVEITA-TUKUMS 39:71
BIZERTA-SANHOSE 9:72
MAPUTU-PRIPETE 69:83
SALANTA-KUZBASS 9:86
TUKUMS-ALTAJS 129:90
VORKUTA-ALTAJS 19:92
NUKUSU-KUZBASS 89:99
KALKUTA-ALTAJS 19:99
ATLANTA-TAUNUSA 90:115
TOLJATI-VALLETA 90:119
DUBULTI-PRIPETE 90:123
UTREHTA-KUZBASS 90:128
ERFURTE-KINROSA 90:23
DONBASS-KUTAISI 90:23
MACESTA-MANAUSA 90:26
BRJANSKA-VENERS 90:33
BELFASTA-VEZUVS 90:45
PEIPUSS-KANZASA 90:59
KUMPOTE-TBILISI 90:79
AIZPUTE-ATLANTA 90:8
PRIPETE-MANAUSA 91:11
PRIPETE-LAPLATA 91:112
KUZBASS-SASEKSA 91:13
AIZPUTE-SASEKSA 91:135
TRIESTE-VAINUTA 91:17
TRIESTE-KUZBASS 91:19
VALLETA-KALKUTA 91:41
TARENTO-TBILISI 91:47
HOLIVUDA-LIZUMS 91:49
EIFRATA-KALKUTA 91:89
ARARATS-KUZBASS 91:90
PRIPETE-MEMFISA 91:90
IRKUTSKA-TUKUMS 92:108
KAUNATA-ENGELSA 92:149
ARARATS-KINROSA 92:18
PLIMUTA-TEKSASA 92:49
KARPATI-MEMFISA 92:53
VAINUTA-TBILISI 92:55
TORONTO-MACESTA 92:83
EIFRATA-SANHOSE 93:13
TRIESTE-BEBRUSI 93:140
SARANSKA-LIZUMS 93:143
VALLETA-ENGELSA 93:3
ERFURTE-VAINUTA 93:31
ARARATS-TARENTO 94:143
UTREHTA-TBILISI 94:21
ATLANTA-MANAUSA 94:51
PEIPUSS-DONBASS 94:84
VALLETA-KUTAISI 94:91
ALATAU-ALAUKSTS 95:102
NUKUSU-VADAKSTE 95:119
TARENTO-VORKUTA 95:125
PEIPUSS-BEBRUSI 95:125
BEIRUTA-ELBRUSS 95:129
ATLANTA-PEIPUSS 95:140
VAGADUGU-MAPUTU 95:141
DUBULTI-KALKUTA 95:26
ELBRUSS-KINROSA 95:41
BEIRUTA-SASEKSA 95:77
TORONTO-BIZERTA 95:94
BIZERTA-UTREHTA 96:105
KUMPOTE-ELBRUSS 96:113
SARANSKA-VENERS 96:116
DUBULTI-KINROSA 96:134
KUZBASS-MADRASA 96:45
TARENTO-VALLETA 97:46
EIFRATA-BEBRUSI 97:54
SANHOSE-ENGELSA 97:78
TRIESTE-SANHOSE 97:91
VORKUTA-TEKSASA 98:111
ELBRUSS-PEIPUSS 98:127
DONBASS-KANZASA 98:40
SANHOSE-MADRASA 98:71
TARENTO-BIZERTA 98:74
TARENTO-MEMFISA 98:87
AIZPUTE-BEIRUTA 98:97
DUBULTI-TBILISI 99:2
BEIRUTA-KANZASA 99:22
PLIMUTA-EIFRATA 99:31
TORONTO-BEBRUSI 99:33
UTREHTA-VAINUTA 99:65
IRKUTSKA-LIZUMS 99:75
TBILISI-TEKSASA 99:88
VALLETA-UTREHTA 99:93
SINSITIJA-KAUNATA 0:15
HAMILTONA-KUVEITA 0:65
VALLETA-SOMERSETA 10:60
MANHATANA-DORSETA 10:77
MENHETENA-MADRASA 100:126
SINSITIJA-UTREHTA 100:144
KAHOVSKA-KAVARSKA 100:150
BEBRUSI-SOMERSETA 100:39
KINGSTONA-TAUNUSA 100:59
KULAUTUVA-LAPLATA 100:62
KRAKATAU-LUGANSKA 100:96
BELFASTA-LUGANSKA 101:122
VAGADUGU-SOVETSKA 101:141
MENHETENA-UTREHTA 101:8
KULAUTUVA-MEMFISA 101:94
SARANSKA-ATABASKA 102:56
HAMILTONA-SASEKSA 102:93
SOMERSETA-ENGELSA 103:119
EVERESTS-SOVETSKA 103:132
MENHETENA-ATLANTA 103:144
BELOSTOKA-PLIMUTA 103:23
SINSITIJA-BIZERTA 103:26
ATLANTA-FEODOSIJA 103:28
VAGADUGU-BRJANSKA 103:65
ALAUKSTS-KAHOVSKA 104:100
PEIPUSS-MORICSALA 105:1
UTREHTA-VALENSIJA 105:122
KINGSTONA-ENGELSA 105:21
KINGSTONA-BIZERTA 105:23
SENTLUISA-ATLANTA 105:26
LUCAVSALA-MEMFISA 105:68
ELBRUSS-SOMERSETA 106:117
FOLKSTONA-MACESTA 107:121
KULAUTUVA-TEKSASA 107:8
KIROVSKA-SARANSKA 107:95
TBILISI-SOMERSETA 108:48
FOLKSTONA-KUVEITA 108:93
TARENTO-FEODOSIJA 109:18
KINGSTONA-KAUNATA 109:41
DONBASS-SOMERSETA 109:44
MENHETENA-KANZASA 109:53
KRAKATAU-KAHOVSKA 109:56
KRAKATAU-BRJANSKA 11:42
ALAUKSTS-BELFASTA 110:13
ARARATS-BELOSTOKA 110:57
VADAKSTE-NEBRASKA 110:75
EVERESTS-SARANSKA 111:31
KAHOVSKA-IRKUTSKA 111:76
HOLIVUDA-NEBRASKA 111:94
EIFRATA-SOMERSETA 112:142
LUCAVSALA-TAUNUSA 112:145
KARPATI-LUCAVSALA 112:148
TOLJATI-MANHATANA 112:150
BELFASTA-KAVARSKA 112:22
MENHETENA-KUVEITA 112:30
MENHETENA-SASEKSA 112:46
JAKUTSKA-IRKUTSKA 113:105
VADAKSTE-ANGARSKA 113:121
VAINUTA-MORICSALA 113:122
HAMILTONA-MANAUSA 113:130
KIROVSKA-KAHOVSKA 113:139
HOLIVUDA-BRJANSKA 113:148
ARARATS-HAMILTONA 113:150
KAHOVSKA-SARANSKA 113:28
ERFURTE-LUCAVSALA 113:57
KULAUTUVA-KALKUTA 113:59
UTREHTA-MORICSALA 114:109
SENTLUISA-KALKUTA 114:118
MACESTA-VALENSIJA 114:67
SINSITIJA-SALANTA 114:74
KUTAISI-MORICSALA 114:88
KAVARSKA-ATABASKA 114:99
EIFRATA-MORICSALA 115:102
SENTLUISA-PLIMUTA 115:129
TORONTO-LUCAVSALA 115:23
HOLIVUDA-IRKUTSKA 115:73
KAHOVSKA-ATABASKA 116:70
SENTLUISA-BEIRUTA 116:73
KARPATI-FEODOSIJA 116:76
KUMPOTE-LUCAVSALA 116:80
FOLKSTONA-SALANTA 116:87
SENTLUISA-MEMFISA 117:1
DUBULTI-FEODOSIJA 117:114
KUVEITA-SOMERSETA 117:138
MORICSALA-TEKSASA 117:149
KRAKATAU-NEBRASKA 117:55
FOLKSTONA-KALKUTA 117:59
HOLIVUDA-KAVARSKA 118:117
VAGADUGU-JAKUTSKA 118:127
VADAKSTE-KAVARSKA 118:31
KINGSTONA-MADRASA 118:47
BELOSTOKA-TAUNUSA 119:124
MANHATANA-KINROSA 119:33
KUZBASS-VALENSIJA 119:5
IRKUTSKA-SARANSKA 119:9
BELFASTA-JAKUTSKA 12:134
KIROVSKA-ATABASKA 12:2
VAGADUGU-NEBRASKA 12:71
KULAUTUVA-VALLETA 120:10
KIROVSKA-KAVARSKA 120:29
BELFASTA-KAHOVSKA 120:32
VADAKSTE-BRJANSKA 120:91
FEODOSIJA-MADRASA 121:21
SOMERSETA-KANZASA 121:37
VADAKSTE-BELFASTA 121:53
UTREHTA-FEODOSIJA 122:19
MANHATANA-MEMFISA 122:20
BIZERTA-LUCAVSALA 122:26
DUBULTI-SOMERSETA 122:9
FOLKSTONA-KANZASA 123:138
KINGSTONA-SALANTA 123:3
LUCAVSALA-ENGELSA 123:64
DORSETA-LUCAVSALA 123:70
KAUNATA-VALENSIJA 124:104
SENTLUISA-KAUNATA 124:26
KUZBASS-FEODOSIJA 124:43
BIZERTA-VALENSIJA 124:82
EVERESTS-KAHOVSKA 125:101
ALAUKSTS-IRKUTSKA 125:134
ANGARSKA-SARANSKA 125:147
LUCAVSALA-TEKSASA 125:44
VALLETA-VALENSIJA 126:1
ARARATS-SOMERSETA 126:105
ATABASKA-BRJANSKA 126:63
FOLKSTONA-EIFRATA 127:122
FOLKSTONA-MADRASA 127:15
SOMERSETA-MADRASA 127:27
PEIPUSS-VALENSIJA 128:112
BELOSTOKA-KAUNATA 128:115
SANHOSE-MORICSALA 128:135
SINSITIJA-EIFRATA 128:140
KULAUTUVA-ENGELSA 128:141
ALAUKSTS-KIROVSKA 128:147
DUBULTI-LUCAVSALA 128:34
HOLIVUDA-ANGARSKA 129:101
SENTLUISA-KUVEITA 129:130
KULAUTUVA-MADRASA 129:136
SINSITIJA-KUVEITA 129:69
VAGADUGU-LUGANSKA 129:97
VALENSIJA-TEKSASA 13:105
EVERESTS-KAVARSKA 13:146
MANHATANA-UTREHTA 13:50
BELFASTA-SARANSKA 130:41
MACESTA-SOMERSETA 130:65
BELOSTOKA-MEMFISA 131:31
FEODOSIJA-MANAUSA 131:48
VALENSIJA-MADRASA 131:54
DONBASS-LUCAVSALA 132:139
SINSITIJA-MADRASA 132:39
VAGADUGU-KAHOVSKA 132:53
AIZPUTE-LUCAVSALA 133:56
MENHETENA-TEKSASA 133:97
SINSITIJA-MACESTA 134:124
MACESTA-MORICSALA 134:19
TOLJATI-SOMERSETA 134:78
KULAUTUVA-KAUNATA 134:87
SINSITIJA-ATLANTA 134:99
HOLIVUDA-SOVETSKA 135:0
AIZPUTE-SOMERSETA 135:105
FOLKSTONA-SASEKSA 135:149
PLIMUTA-VALENSIJA 135:91
FEODOSIJA-TAUNUSA 136:31
MORICSALA-KINROSA 136:89
LUGANSKA-SARANSKA 137:142
HAMILTONA-TEKSASA 137:19
HOLIVUDA-KAHOVSKA 137:27
DORSETA-VALENSIJA 137:49
NEBRASKA-LUGANSKA 137:8
EVERESTS-BELFASTA 138:126
MORICSALA-TAUNUSA 138:20
TORONTO-MENHETENA 138:27
KRAKATAU-KAVARSKA 138:64
SENTLUISA-MANAUSA 138:71
MENHETENA-EIFRATA 138:76
MAPUTU-BRATISLAVA 14:69
EIFRATA-VALENSIJA 14:81
KINGSTONA-KUVEITA 140:107
FOLKSTONA-VAINUTA 140:115
ALAUKSTS-ATABASKA 140:146
ARARATS-MANHATANA 140:148
FOLKSTONA-ENGELSA 140:33
ATLANTA-SOMERSETA 140:42
ALAUKSTS-JAKUTSKA 141:142
ANGARSKA-ATABASKA 141:74
BEIRUTA-LUCAVSALA 142:11
SINSITIJA-ENGELSA 142:114
JAKUTSKA-ATABASKA 142:141
JAKUTSKA-BRJANSKA 142:17
BELFASTA-ANGARSKA 142:64
TRIESTE-MORICSALA 142:74
KULAUTUVA-VORKUTA 142:89
VAINUTA-VALENSIJA 143:127
VADAKSTE-SOVETSKA 143:14
MENHETENA-LAPLATA 143:142
FOLKSTONA-MEMFISA 144:114
DUBULTI-MANHATANA 144:142
ALAUKSTS-BRJANSKA 144:23
BELOSTOKA-ENGELSA 144:24
VAGADUGU-HOLIVUDA 144:28
TORONTO-SINSITIJA 144:33
SINSITIJA-VORKUTA 145:137
LUGANSKA-ATABASKA 145:53
ERFURTE-SOMERSETA 145:98
PEIPUSS-SOMERSETA 146:120
KAVARSKA-LUGANSKA 146:141
IRKUTSKA-LUGANSKA 146:42
BEIRUTA-SOMERSETA 147:0
KAUNATA-LUCAVSALA 147:134
ANGARSKA-IRKUTSKA 147:45
KINGSTONA-KANZASA 147:50
VALENSIJA-KANZASA 147:7
VAINUTA-FEODOSIJA 147:72
SOVETSKA-KIROVSKA 147:81
TORONTO-MORICSALA 148:125
HAMILTONA-MACESTA 148:150
MENHETENA-TAUNUSA 148:43
VADAKSTE-IRKUTSKA 148:78
VALENSIJA-MANAUSA 149:102
MENHETENA-DORSETA 149:145
BELOSTOKA-ATLANTA 149:34
KARPATI-MENHETENA 149:50
PEIPUSS-FEODOSIJA 149:76
MORICSALA-MEMFISA 149:78
SINSITIJA-MEMFISA 15:138
MANHATANA-LAPLATA 15:36
AIZPUTE-VALENSIJA 15:42
TOLJATI-MORICSALA 15:42
KARPATI-SOMERSETA 15:6
DORSETA-SOMERSETA 150:1
SALANTA-LUCAVSALA 150:118
BELOSTOKA-BEIRUTA 150:127
SINSITIJA-KALKUTA 150:143
SENTLUISA-KINROSA 150:148
SOMERSETA-SASEKSA 150:18
VAINUTA-SOMERSETA 150:30
VORKUTA-MORICSALA 150:53
HAMILTONA-BEIRUTA 150:85
TOLJATI-VALENSIJA 150:97
SINSITIJA-MANAUSA 16:119
FOLKSTONA-VORKUTA 16:133
SENTLUISA-VALLETA 16:139
VADAKSTE-SARANSKA 16:99
MACESTA-LUCAVSALA 17:64
BEBRUSI-MORICSALA 18:136
KINGSTONA-TEKSASA 18:148
KAHOVSKA-LUGANSKA 18:36
FOLKSTONA-MANAUSA 18:6
VADAKSTE-LUGANSKA 18:87
KINGSTONA-KALKUTA 18:90
KARPATI-MANHATANA 18:92
BELOSTOKA-MACESTA 19:124
HAMILTONA-VAINUTA 2:30
TRIESTE-LUCAVSALA 20:10
PRIPETE-VALENSIJA 20:106
NEBRASKA-KIROVSKA 20:110
HAMILTONA-VORKUTA 20:19
ARARATS-MENHETENA 20:27
BELOSTOKA-KINROSA 21:1
EVERESTS-NEBRASKA 21:102
KAHOVSKA-BRJANSKA 21:108
NEBRASKA-KAVARSKA 21:60
TARENTO-VALENSIJA 22:14
FOLKSTONA-KAUNATA 22:53
PRIPETE-SOMERSETA 22:96
MANHATANA-SALANTA 23:79
VAGADUGU-IRKUTSKA 24:34
MORICSALA-SASEKSA 25:144
BELOSTOKA-VALLETA 25:40
SENTLUISA-LAPLATA 25:46
TARENTO-SOMERSETA 25:83
MENHETENA-VAINUTA 25:88
BELOSTOKA-KUVEITA 26:105
BEIRUTA-FEODOSIJA 26:142
VADAKSTE-JAKUTSKA 26:146
ERFURTE-MORICSALA 26:28
TBILISI-MORICSALA 26:3
KUZBASS-MORICSALA 26:46
HAMILTONA-LAPLATA 27:112
FOLKSTONA-ATLANTA 27:139
TARENTO-MENHETENA 27:40
DUBULTI-MORICSALA 28:101
BELFASTA-SOVETSKA 28:109
ERFURTE-FEODOSIJA 28:112
HAMILTONA-MEMFISA 28:4
MANHATANA-BEIRUTA 28:54
KALKUTA-SOMERSETA 29:133
KULAUTUVA-MANAUSA 29:2
NUKUSU-BRATISLAVA 29:39
ARARATS-SINSITIJA 29:42
MORICSALA-ENGELSA 29:82
IRKUTSKA-KAVARSKA 29:90
ERFURTE-VALENSIJA 3:100
MANHATANA-MACESTA 3:11
NEBRASKA-JAKUTSKA 3:114
KUVEITA-VALENSIJA 3:141
TOLJATI-FEODOSIJA 3:38
KAUNATA-MORICSALA 3:92
ARARATS-FEODOSIJA 30:106
HAMILTONA-MADRASA 30:15
VORKUTA-SOMERSETA 30:34
AIZPUTE-MORICSALA 30:64
LUCAVSALA-MADRASA 31:109
KUVEITA-LUCAVSALA 31:45
HAMILTONA-SALANTA 32:150
TARENTO-MANHATANA 32:44
TARENTO-LUCAVSALA 32:52
PLIMUTA-LUCAVSALA 32:76
SENTLUISA-SASEKSA 32:83
LUCAVSALA-SASEKSA 33:123
MANHATANA-KAUNATA 33:143
MANHATANA-ENGELSA 33:89
BIZERTA-MORICSALA 34:116
MANHATANA-KALKUTA 34:139
SENTLUISA-BIZERTA 34:146
LUCAVSALA-MANAUSA 34:18
PLIMUTA-MORICSALA 34:41
VALENSIJA-MEMFISA 34:79
SENTLUISA-TAUNUSA 35:127
BELOSTOKA-KANZASA 35:23
SINSITIJA-KANZASA 35:57
KUMPOTE-FEODOSIJA 35:88
KINGSTONA-VALLETA 35:91
KUZBASS-SOMERSETA 35:94
KULAUTUVA-PLIMUTA 36:33
KALKUTA-VALENSIJA 36:51
ATLANTA-MORICSALA 36:73
DUBULTI-MENHETENA 36:80
MENHETENA-KALKUTA 36:86
MENHETENA-MACESTA 37:94
HAMILTONA-ATLANTA 37:98
VAINUTA-LUCAVSALA 37:99
FOLKSTONA-DORSETA 38:144
BELOSTOKA-BIZERTA 38:29
BEBRUSI-LUCAVSALA 38:40
BELOSTOKA-LAPLATA 38:5
ELBRUSS-MORICSALA 38:62
FOLKSTONA-PLIMUTA 38:70
KINGSTONA-VORKUTA 38:78
KINGSTONA-EIFRATA 38:87
KALKUTA-LUCAVSALA 38:9
KUTAISI-SOMERSETA 39:107
KULAUTUVA-KANZASA 39:127
MENHETENA-BIZERTA 39:19
SOMERSETA-TEKSASA 39:36
FOLKSTONA-BIZERTA 4:150
KINGSTONA-VAINUTA 4:95
MENHETENA-VORKUTA 40:26
SENTLUISA-VAINUTA 41:137
MANHATANA-KANZASA 41:77
VALLETA-MORICSALA 41:92
KINGSTONA-ATLANTA 42:138
ATLANTA-VALENSIJA 42:143
KULAUTUVA-MACESTA 42:30
ALAUKSTS-KAVARSKA 43:13
VAGADUGU-ANGARSKA 43:134
VAGADUGU-KIROVSKA 43:38
KUZBASS-LUCAVSALA 43:98
PRIPETE-MANHATANA 44:10
DONBASS-FEODOSIJA 44:102
UTREHTA-LUCAVSALA 44:107
TORONTO-FEODOSIJA 44:136
LUCAVSALA-KINROSA 44:48
FOLKSTONA-LAPLATA 45:10
KAUNATA-SOMERSETA 45:107
LUGANSKA-BRJANSKA 45:17
PRIPETE-FEODOSIJA 45:17
MORICSALA-MANAUSA 45:50
KINGSTONA-UTREHTA 45:71
KINGSTONA-SASEKSA 45:83
BEIRUTA-VALENSIJA 46:123
FOLKSTONA-UTREHTA 46:128
HAMILTONA-BIZERTA 46:138
HAMILTONA-KANZASA 46:140
UTREHTA-SOMERSETA 46:27
FOLKSTONA-TEKSASA 46:41
KUVEITA-FEODOSIJA 46:81
KULAUTUVA-EIFRATA 47:12
SOMERSETA-TAUNUSA 47:133
KINGSTONA-DORSETA 47:134
KULAUTUVA-SALANTA 47:145
BELOSTOKA-UTREHTA 47:67
VALENSIJA-TAUNUSA 48:136
ANGARSKA-BRJANSKA 48:150
SENTLUISA-ENGELSA 48:18
DORSETA-FEODOSIJA 49:136
KUMPOTE-VALENSIJA 49:31
PRIPETE-LUCAVSALA 49:86
VALENSIJA-KINROSA 5:150
SENTLUISA-UTREHTA 5:99
PLIMUTA-SOMERSETA 50:132
LAPLATA-LUCAVSALA 50:65
VALENSIJA-ENGELSA 51:103
TORONTO-VALENSIJA 51:116
AIZPUTE-FEODOSIJA 51:122
HAMILTONA-ENGELSA 51:147
SENTLUISA-VORKUTA 51:63
BELOSTOKA-TEKSASA 51:8
KULAUTUVA-KUVEITA 52:115
VORKUTA-VALENSIJA 52:115
KUTAISI-LUCAVSALA 52:119
VALENSIJA-SASEKSA 52:149
MANHATANA-KUVEITA 52:22
BELFASTA-ATABASKA 52:63
EIFRATA-LUCAVSALA 53:74
ARARATS-MORICSALA 54:125
KRAKATAU-BELFASTA 54:2
KULAUTUVA-TAUNUSA 54:43
KINGSTONA-KINROSA 54:58
EVERESTS-ATABASKA 54:69
BELOSTOKA-MADRASA 55:135
SENTLUISA-TEKSASA 55:40
JAKUTSKA-ANGARSKA 55:76
BELOSTOKA-SALANTA 56:129
HAMILTONA-KINROSA 56:139
KRAKATAU-KIROVSKA 56:146
MANHATANA-MADRASA 56:15
ARARATS-KINGSTONA 56:32
KULAUTUVA-DORSETA 56:42
KIROVSKA-IRKUTSKA 57:0
EVERESTS-JAKUTSKA 57:30
AIZPUTE-MANHATANA 57:31
FOLKSTONA-BEIRUTA 57:49
DUBULTI-VALENSIJA 57:56
ERFURTE-MANHATANA 57:62
BELOSTOKA-DORSETA 57:94
TORONTO-SOMERSETA 58:21
BEIRUTA-MORICSALA 58:40
NEBRASKA-ANGARSKA 58:40
KRAKATAU-IRKUTSKA 58:47
LAPLATA-VALENSIJA 58:69
BELFASTA-NEBRASKA 58:8
JAKUTSKA-KIROVSKA 58:93
MANHATANA-MANAUSA 59:123
MANHATANA-TAUNUSA 59:81
ALATAU-BRATISLAVA 59:87
ARARATS-FOLKSTONA 6:102
NEBRASKA-SARANSKA 6:129
MENHETENA-ENGELSA 6:36
BELOSTOKA-VORKUTA 6:42
HAMILTONA-UTREHTA 6:66
KULAUTUVA-BIZERTA 6:89
BELOSTOKA-SASEKSA 60:0
HAMILTONA-KALKUTA 60:121
MANHATANA-VORKUTA 60:122
KINGSTONA-MACESTA 60:138
TRIESTE-FEODOSIJA 60:149
KARPATI-MORICSALA 60:71
MENHETENA-VALLETA 62:113
KRAKATAU-ANGARSKA 62:131
SOVETSKA-KAHOVSKA 62:25
VAGADUGU-BELFASTA 62:32
MENHETENA-MEMFISA 62:56
HOLIVUDA-ATABASKA 63:111
EVERESTS-ANGARSKA 63:125
BELOSTOKA-EIFRATA 64:102
SINSITIJA-TEKSASA 64:132
KIROVSKA-LUGANSKA 64:30
TRIESTE-SOMERSETA 64:34
HAMILTONA-DORSETA 64:55
VADAKSTE-ATABASKA 65:119
SENTLUISA-KANZASA 65:132
TRIESTE-VALENSIJA 65:59
NEBRASKA-IRKUTSKA 65:59
HOLIVUDA-SARANSKA 66:104
SOVETSKA-IRKUTSKA 66:136
DORSETA-MORICSALA 66:34
FEODOSIJA-SASEKSA 66:52
HAMILTONA-PLIMUTA 67:24
KULAUTUVA-VAINUTA 67:96
JAKUTSKA-KAVARSKA 68:14
TBILISI-LUCAVSALA 68:15
FEODOSIJA-MEMFISA 68:24
SOVETSKA-BRJANSKA 68:37
MANHATANA-TEKSASA 68:40
VORKUTA-FEODOSIJA 69:117
KULAUTUVA-SASEKSA 69:126
HAMILTONA-KAUNATA 69:36
KRAKATAU-JAKUTSKA 7:0
LAPLATA-FEODOSIJA 7:0
VALLETA-LUCAVSALA 7:44
PLIMUTA-FEODOSIJA 7:46
KULAUTUVA-KINROSA 70:113
ALAUKSTS-SARANSKA 70:143
VAGADUGU-SARANSKA 70:78
SOVETSKA-KAVARSKA 71:58
ATLANTA-LUCAVSALA 71:90
MORICSALA-KANZASA 72:134
SOMERSETA-KINROSA 72:38
NEBRASKA-ATABASKA 72:84
TORONTO-MANHATANA 73:114
FOLKSTONA-VALLETA 73:22
DONBASS-VALENSIJA 73:23
VORKUTA-LUCAVSALA 73:26
SENTLUISA-MADRASA 73:76
KARPATI-VALENSIJA 74:25
LAPLATA-SOMERSETA 74:40
KAUNATA-FEODOSIJA 74:46
FEODOSIJA-TEKSASA 74:48
EVERESTS-LUGANSKA 74:50
SINSITIJA-SASEKSA 74:58
SINSITIJA-LAPLATA 75:104
SOVETSKA-LUGANSKA 75:129
TOLJATI-LUCAVSALA 75:25
SINSITIJA-BEIRUTA 75:39
SINSITIJA-DORSETA 75:61
ANGARSKA-LUGANSKA 76:130
EVERESTS-KIROVSKA 76:7
KAVARSKA-SARANSKA 76:93
KULAUTUVA-UTREHTA 76:98
ELBRUSS-FEODOSIJA 77:16
KINGSTONA-PLIMUTA 77:90
KINGSTONA-MEMFISA 78:16
KAVARSKA-BRJANSKA 78:48
KIROVSKA-BRJANSKA 78:57
BIZERTA-SOMERSETA 78:65
ALAUKSTS-NEBRASKA 79:136
TARENTO-SINSITIJA 79:18
KRAKATAU-SARANSKA 79:20
MENHETENA-BEIRUTA 79:48
DONBASS-MORICSALA 79:51
ELBRUSS-VALENSIJA 8:108
NEBRASKA-SOVETSKA 8:58
HOLIVUDA-JAKUTSKA 8:61
JAKUTSKA-SARANSKA 8:87
SINSITIJA-VAINUTA 80:123
KUVEITA-MORICSALA 80:148
EIFRATA-FEODOSIJA 80:18
KALKUTA-FEODOSIJA 80:29
SOMERSETA-MEMFISA 80:33
SARANSKA-BRJANSKA 80:8
NEBRASKA-BRJANSKA 80:91
BELOSTOKA-VAINUTA 81:102
KULAUTUVA-ATLANTA 81:148
SALANTA-MORICSALA 81:40
IRKUTSKA-BRJANSKA 81:48
KALKUTA-MORICSALA 81:6
KUMPOTE-MORICSALA 81:84
HAMILTONA-TAUNUSA 81:98
SANHOSE-LUCAVSALA 82:120
KRAKATAU-ATABASKA 82:123
ANGARSKA-KAVARSKA 82:13
SALANTA-SOMERSETA 82:21
FEODOSIJA-KINROSA 82:27
MENHETENA-KAUNATA 82:49
FEODOSIJA-ENGELSA 82:97
SOVETSKA-ATABASKA 83:146
BELFASTA-KIROVSKA 83:20
VADAKSTE-KIROVSKA 84:106
TRIESTE-MANHATANA 84:32
ARARATS-VALENSIJA 84:32
KULAUTUVA-BEIRUTA 84:75
BELFASTA-IRKUTSKA 84:90
NEBRASKA-KAHOVSKA 85:103
VAGADUGU-ATABASKA 85:146
SENTLUISA-DORSETA 85:32
EVERESTS-IRKUTSKA 85:49
MANHATANA-BIZERTA 85:49
VALLETA-FEODOSIJA 85:77
SINSITIJA-PLIMUTA 86:89
HOLIVUDA-KIROVSKA 87:121
SINSITIJA-TAUNUSA 87:130
MANHATANA-ATLANTA 87:130
ANGARSKA-KIROVSKA 87:98
JAKUTSKA-KAHOVSKA 88:38
VADAKSTE-KAHOVSKA 88:4
MENHETENA-KINROSA 88:63
SENTLUISA-SALANTA 89:139
MACESTA-FEODOSIJA 89:47
LAPLATA-MORICSALA 89:68
ARARATS-LUCAVSALA 9:120
MORICSALA-MADRASA 9:143
HAMILTONA-EIFRATA 9:26
ALAUKSTS-SOVETSKA 9:33
ALAUKSTS-ANGARSKA 9:51
MENHETENA-MANAUSA 9:72
BELOSTOKA-MANAUSA 9:78
KUMPOTE-MANHATANA 9:94
HOLIVUDA-LUGANSKA 9:97
MENHETENA-SALANTA 90:145
ALAUKSTS-LUGANSKA 90:27
IRKUTSKA-ATABASKA 90:93
KINGSTONA-LAPLATA 91:68
SOVETSKA-SARANSKA 92:113
MANHATANA-PLIMUTA 92:129
SINSITIJA-KINROSA 92:137
PEIPUSS-LUCAVSALA 92:59
ELBRUSS-LUCAVSALA 92:98
MANHATANA-EIFRATA 93:103
MANHATANA-VAINUTA 93:112
VAGADUGU-KAVARSKA 93:28
FOLKSTONA-TAUNUSA 93:4
HAMILTONA-VALLETA 94:128
SENTLUISA-EIFRATA 94:131
SENTLUISA-MACESTA 94:27
BELFASTA-BRJANSKA 94:44
EVERESTS-BRJANSKA 94:71
MANHATANA-VALLETA 94:85
TOLJATI-MENHETENA 95:111
MANHATANA-SASEKSA 95:113
HOLIVUDA-BELFASTA 95:117
KINGSTONA-MANAUSA 95:144
JAKUTSKA-LUGANSKA 96:102
ANGARSKA-KAHOVSKA 96:23
KUMPOTE-SOMERSETA 96:42
SINSITIJA-VALLETA 96:44
TARENTO-MORICSALA 96:52
FEODOSIJA-KANZASA 97:129
